chapter,verse,text
1,1,"Ἐπειδήπερ 1895 {CONJ} πολλοὶ 4183 {A-NPM} ἐπεχείρησαν 2021 {V-AAI-3P} ἀνατάξασθαι 392 {V-ADN} διήγησιν 1335 {N-ASF} περὶ 4012 {PREP} τῶν 3588 {T-GPN} πεπληροφορημένων 4135 {V-RPP-GPN} ἐν 1722 {PREP} ἡμῖν 1473 {P-1DP} πραγμάτων, 4229 {N-GPN} "
1,2,"καθὼς 2531 {ADV} παρέδοσαν 3860 {V-2AAI-3P} ἡμῖν 1473 {P-1DP} οἱ 3588 {T-NPM} ἀπ’ 575 {PREP} ἀρχῆς 746 {N-GSF} αὐτόπται 845 {N-NPM} καὶ 2532 {CONJ} ὑπηρέται 5257 {N-NPM} γενόμενοι 1096 {V-2ADP-NPM} τοῦ 3588 {T-GSM} λόγου, 3056 {N-GSM} "
1,3,"ἔδοξεν 1380 {V-AAI-3S} κἀμοί, 2504 {P-1DS-K} παρηκολουθηκότι 3877 {V-RAP-DSM} ἄνωθεν 509 {ADV} πᾶσιν 3956 {A-DPN} ἀκριβῶς, 199 {ADV} καθεξῆς 2517 {ADV} σοι 4771 {P-2DS} γράψαι, 1125 {V-AAN} κράτιστε 2903 {A-VSM-S} Θεόφιλε, 2321 {N-VSM} "
1,4,ἵνα 2443 {CONJ} ἐπιγνῷς 1921 {V-2AAS-2S} περὶ 4012 {PREP} ὧν 3739 {R-GPM} κατηχήθης 2727 {V-API-2S} λόγων 3056 {N-GPM} τὴν 3588 {T-ASF} ἀσφάλειαν. 803 {N-ASF} 
1,5,"Ἐγένετο 1096 {V-2ADI-3S} ἐν 1722 {PREP} ταῖς 3588 {T-DPF} ἡμέραις 2250 {N-DPF} Ἡρῴδου 2264 {N-GSM} τοῦ 3588 {T-GSM} βασιλέως 935 {N-GSM} τῆς 3588 {T-GSF} Ἰουδαίας 2449 {N-GSF} ἱερεύς 2409 {N-NSM} τις 5100 {X-NSM} ὀνόματι 3686 {N-DSN} Ζαχαρίας, 2197 {N-NSM} ἐξ 1537 {PREP} ἐφημερίας 2183 {N-GSF} Ἀβιά· 7 {N-PRI} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} γυνὴ 1135 {N-NSF} αὐτοῦ 846 {P-GSM} ἐκ 1537 {PREP} τῶν 3588 {T-GPF} θυγατέρων 2364 {N-GPF} Ἀαρών, 2 {N-PRI} καὶ 2532 {CONJ} τὸ 3588 {T-NSN} ὄνομα 3686 {N-NSN} αὐτῆς 846 {P-GSF} Ἐλισάβετ." 1665 {N-PRI} "
1,6,"Ἦσαν 1510 {V-IAI-3P} δὲ 1161 {CONJ} δίκαιοι 1342 {A-NPM} ἀμφότεροι 297 {A-NPM} ἐνώπιον 1799 {PREP} τοῦ 3588 {T-GSM} θεοῦ, 2316 {N-GSM} πορευόμενοι 4198 {V-PNP-NPM} ἐν 1722 {PREP} πάσαις 3956 {A-DPF} ταῖς 3588 {T-DPF} ἐντολαῖς 1785 {N-DPF} καὶ 2532 {CONJ} δικαιώμασιν 1345 {N-DPN} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἄμεμπτοι." 273 {A-NPM} "
1,7,"Καὶ 2532 {CONJ} οὐκ 3756 {PRT-N} ἦν 1510 {V-IAI-3S} αὐτοῖς 846 {P-DPM} τέκνον, 5043 {N-NSN} καθότι 2530 {CONJ} ἡ 3588 {T-NSF} Ἐλισάβετ 1665 {N-PRI} ἦν 1510 {V-IAI-3S} στεῖρα, 4723 {N-NSF} καὶ 2532 {CONJ} ἀμφότεροι 297 {A-NPM} προβεβηκότες 4260 {V-RAP-NPM} ἐν 1722 {PREP} ταῖς 3588 {T-DPF} ἡμέραις 2250 {N-DPF} αὐτῶν 846 {P-GPM} ἦσαν." 1510 {V-IAI-3P} "
1,8,"Ἐγένετο 1096 {V-2ADI-3S} δὲ 1161 {CONJ} ἐν 1722 {PREP} τῷ 3588 {T-DSN} ἱερατεύειν 2407 {V-PAN} αὐτὸν 846 {P-ASM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} τάξει 5010 {N-DSF} τῆς 3588 {T-GSF} ἐφημερίας 2183 {N-GSF} αὐτοῦ 846 {P-GSM} ἔναντι 1725 {PREP} τοῦ 3588 {T-GSM} θεοῦ, 2316 {N-GSM} "
1,9,"κατὰ 2596 {PREP} τὸ 3588 {T-ASN} ἔθος 1485 {N-ASN} τῆς 3588 {T-GSF} ἱερατείας, 2405 {N-GSF} ἔλαχεν 2975 {V-2AAI-3S} τοῦ 3588 {T-GSN} θυμιᾶσαι 2370 {V-AAN} εἰσελθὼν 1525 {V-2AAP-NSM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} ναὸν 3485 {N-ASM} τοῦ 3588 {T-GSM} κυρίου." 2962 {N-GSM} "
1,10,Καὶ 2532 {CONJ} πᾶν 3956 {A-NSN} τὸ 3588 {T-NSN} πλῆθος 4128 {N-NSN} ἦν 1510 {V-IAI-3S} τοῦ 3588 {T-GSM} λαοῦ 2992 {N-GSM} προσευχόμενον 4336 {V-PNP-NSN} ἔξω 1854 {ADV} τῇ 3588 {T-DSF} ὥρᾳ 5610 {N-DSF} τοῦ 3588 {T-GSN} θυμιάματος. 2368 {N-GSN} 
1,11,"Ὤφθη 3708 {V-API-3S} δὲ 1161 {CONJ} αὐτῷ 846 {P-DSM} ἄγγελος 32 {N-NSM} κυρίου, 2962 {N-GSM} ἑστὼς 2476 {V-RAP-NSM} ἐκ 1537 {PREP} δεξιῶν 1188 {A-GPN} τοῦ 3588 {T-GSN} θυσιαστηρίου 2379 {N-GSN} τοῦ 3588 {T-GSN} θυμιάματος." 2368 {N-GSN} "
1,12,"Καὶ 2532 {CONJ} ἐταράχθη 5015 {V-API-3S} Ζαχαρίας 2197 {N-NSM} ἰδών, 3708 {V-2AAP-NSM} καὶ 2532 {CONJ} φόβος 5401 {N-NSM} ἐπέπεσεν 1968 {V-2AAI-3S} ἐπ’ 1909 {PREP} αὐτόν." 846 {P-ASM} "
1,13,"Εἶπεν 3004 {V-2AAI-3S} δὲ 1161 {CONJ} πρὸς 4314 {PREP} αὐτὸν 846 {P-ASM} ὁ 3588 {T-NSM} ἄγγελος, 32 {N-NSM} Μὴ 3361 {PRT-N} φοβοῦ, 5399 {V-PNM-2S} Ζαχαρία· 2197 {N-VSM} διότι 1360 {CONJ} εἰσηκούσθη 1522 {V-API-3S} ἡ 3588 {T-NSF} δέησίς 1162 {N-NSF} σου, 4771 {P-2GS} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} γυνή 1135 {N-NSF} σου 4771 {P-2GS} Ἐλισάβετ 1665 {N-PRI} γεννήσει 1080 {V-FAI-3S} υἱόν 5207 {N-ASM} σοι, 4771 {P-2DS} καὶ 2532 {CONJ} καλέσεις 2564 {V-FAI-2S} τὸ 3588 {T-ASN} ὄνομα 3686 {N-ASN} αὐτοῦ 846 {P-GSM} Ἰωάννην." 2491 {N-ASM} "
1,14,"Καὶ 2532 {CONJ} ἔσται 1510 {V-FDI-3S} χαρά 5479 {N-NSF} σοι 4771 {P-2DS} καὶ 2532 {CONJ} ἀγαλλίασις, 20 {N-NSF} καὶ 2532 {CONJ} πολλοὶ 4183 {A-NPM} ἐπὶ 1909 {PREP} τῇ 3588 {T-DSF} γεννήσει 1083 {N-DSF} αὐτοῦ 846 {P-GSM} χαρήσονται." 5463 {V-2FOI-3P} "
1,15,"Ἔσται 1510 {V-FDI-3S} γὰρ 1063 {CONJ} μέγας 3173 {A-NSM} ἐνώπιον 1799 {PREP} τοῦ 3588 {T-GSM} κυρίου, 2962 {N-GSM} καὶ 2532 {CONJ} οἶνον 3631 {N-ASM} καὶ 2532 {CONJ} σίκερα 4608 {N-OI} οὐ 3756 {PRT-N} μὴ 3361 {PRT-N} πίῃ, 4095 {V-2AAS-3S} καὶ 2532 {CONJ} πνεύματος 4151 {N-GSN} ἁγίου 40 {A-GSN} πλησθήσεται 4130 {V-FPI-3S} ἔτι 2089 {ADV} ἐκ 1537 {PREP} κοιλίας 2836 {N-GSF} μητρὸς 3384 {N-GSF} αὐτοῦ." 846 {P-GSM} "
1,16,Καὶ 2532 {CONJ} πολλοὺς 4183 {A-APM} τῶν 3588 {T-GPM} υἱῶν 5207 {N-GPM} Ἰσραὴλ 2474 {N-PRI} ἐπιστρέψει 1994 {V-FAI-3S} ἐπὶ 1909 {PREP} κύριον 2962 {N-ASM} τὸν 3588 {T-ASM} θεὸν 2316 {N-ASM} αὐτῶν· 846 {P-GPM} 
1,17,"καὶ 2532 {CONJ} αὐτὸς 846 {P-NSM} προελεύσεται 4281 {V-FDI-3S} ἐνώπιον 1799 {PREP} αὐτοῦ 846 {P-GSM} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} καὶ 2532 {CONJ} δυνάμει 1411 {N-DSF} Ἠλίου, 2243 {N-GSM} ἐπιστρέψαι 1994 {V-AAN} καρδίας 2588 {N-APF} πατέρων 3962 {N-GPM} ἐπὶ 1909 {PREP} τέκνα, 5043 {N-APN} καὶ 2532 {CONJ} ἀπειθεῖς 545 {A-APM} ἐν 1722 {PREP} φρονήσει 5428 {N-DSF} δικαίων, 1342 {A-GPM} ἑτοιμάσαι 2090 {V-AAN} κυρίῳ 2962 {N-DSM} λαὸν 2992 {N-ASM} κατεσκευασμένον." 2680 {V-RPP-ASM} "
1,18,"Καὶ 2532 {CONJ} εἶπεν 3004 {V-2AAI-3S} Ζαχαρίας 2197 {N-NSM} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} ἄγγελον, 32 {N-ASM} Κατὰ 2596 {PREP} τί 5101 {I-ASN} γνώσομαι 1097 {V-FDI-1S} τοῦτο, 3778 {D-ASN} Ἐγὼ 1473 {P-1NS} γάρ 1063 {CONJ} εἰμι 1510 {V-PAI-1S} πρεσβύτης, 4246 {N-NSM} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} γυνή 1135 {N-NSF} μου 1473 {P-1GS} προβεβηκυῖα 4260 {V-RAP-NSF} ἐν 1722 {PREP} ταῖς 3588 {T-DPF} ἡμέραις 2250 {N-DPF} αὐτῆς." 846 {P-GSF} "
1,19,"Καὶ 2532 {CONJ} ἀποκριθεὶς 611 {V-AOP-NSM} ὁ 3588 {T-NSM} ἄγγελος 32 {N-NSM} εἶπεν 3004 {V-2AAI-3S} αὐτῷ, 846 {P-DSM} Ἐγώ 1473 {P-1NS} εἰμι 1510 {V-PAI-1S} Γαβριὴλ 1043 {N-PRI} ὁ 3588 {T-NSM} παρεστηκὼς 3936 {V-RAP-NSM} ἐνώπιον 1799 {PREP} τοῦ 3588 {T-GSM} θεοῦ· 2316 {N-GSM} καὶ 2532 {CONJ} ἀπεστάλην 649 {V-2API-1S} λαλῆσαι 2980 {V-AAN} πρός 4314 {PREP} σε, 4771 {P-2AS} καὶ 2532 {CONJ} εὐαγγελίσασθαί 2097 {V-AMN} σοι 4771 {P-2DS} ταῦτα." 3778 {D-APN} "
1,20,"Καὶ 2532 {CONJ} ἰδού, 3708 {V-2AMM-2S} ἔσῃ 1510 {V-FDI-2S} σιωπῶν 4623 {V-PAP-NSM} καὶ 2532 {CONJ} μὴ 3361 {PRT-N} δυνάμενος 1410 {V-PNP-NSM} λαλῆσαι, 2980 {V-AAN} ἄχρι 891 {ADV} ἧς 3739 {R-GSF} ἡμέρας 2250 {N-GSF} γένηται 1096 {V-2ADS-3S} ταῦτα, 3778 {D-NPN} ἀνθ’ 473 {PREP} ὧν 3739 {R-GPN} οὐκ 3756 {PRT-N} ἐπίστευσας 4100 {V-AAI-2S} τοῖς 3588 {T-DPM} λόγοις 3056 {N-DPM} μου, 1473 {P-1GS} οἵτινες 3748 {R-NPM} πληρωθήσονται 4137 {V-FPI-3P} εἰς 1519 {PREP} τὸν 3588 {T-ASM} καιρὸν 2540 {N-ASM} αὐτῶν." 846 {P-GPM} "
1,21,Καὶ 2532 {CONJ} ἦν 1510 {V-IAI-3S} ὁ 3588 {T-NSM} λαὸς 2992 {N-NSM} προσδοκῶν 4328 {V-PAP-NSM} τὸν 3588 {T-ASM} Ζαχαρίαν· 2197 {N-ASM} καὶ 2532 {CONJ} ἐθαύμαζον 2296 {V-IAI-3P} ἐν 1722 {PREP} τῷ 3588 {T-DSN} χρονίζειν 5549 {V-PAN} αὐτὸν 846 {P-ASM} ἐν 1722 {PREP} τῷ 3588 {T-DSM} ναῷ. 3485 {N-DSM} 
1,22,"Ἐξελθὼν 1831 {V-2AAP-NSM} δὲ 1161 {CONJ} οὐκ 3756 {PRT-N} ἠδύνατο 1410 {V-INI-3S-ATT} λαλῆσαι 2980 {V-AAN} αὐτοῖς· 846 {P-DPM} καὶ 2532 {CONJ} ἐπέγνωσαν 1921 {V-2AAI-3P} ὅτι 3754 {CONJ} ὀπτασίαν 3701 {N-ASF} ἑώρακεν 3708 {V-RAI-3S-ATT} ἐν 1722 {PREP} τῷ 3588 {T-DSM} ναῷ· 3485 {N-DSM} καὶ 2532 {CONJ} αὐτὸς 846 {P-NSM} ἦν 1510 {V-IAI-3S} διανεύων 1269 {V-PAP-NSM} αὐτοῖς, 846 {P-DPM} καὶ 2532 {CONJ} διέμενεν 1265 {V-IAI-3S} κωφός." 2974 {A-NSM} "
1,23,"Καὶ 2532 {CONJ} ἐγένετο, 1096 {V-2ADI-3S} ὡς 5613 {ADV} ἐπλήσθησαν 4130 {V-API-3P} αἱ 3588 {T-NPF} ἡμέραι 2250 {N-NPF} τῆς 3588 {T-GSF} λειτουργίας 3009 {N-GSF} αὐτοῦ, 846 {P-GSM} ἀπῆλθεν 565 {V-2AAI-3S} εἰς 1519 {PREP} τὸν 3588 {T-ASM} οἶκον 3624 {N-ASM} αὐτοῦ." 846 {P-GSM} "
