chapter,verse,text
1,1,"Ἐν 1722 {PREP} ἀρχῇ 746 {N-DSF} ἦν 1510 {V-IAI-3S} ὁ 3588 {T-NSM} λόγος, 3056 {N-NSM} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} ἦν 1510 {V-IAI-3S} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} θεόν, 2316 {N-ASM} καὶ 2532 {CONJ} θεὸς 2316 {N-NSM} ἦν 1510 {V-IAI-3S} ὁ 3588 {T-NSM} λόγος." 3056 {N-NSM} "
1,2,Οὗτος 3778 {D-NSM} ἦν 1510 {V-IAI-3S} ἐν 1722 {PREP} ἀρχῇ 746 {N-DSF} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} θεόν. 2316 {N-ASM} 
1,3,"Πάντα 3956 {A-NPN} δι’ 1223 {PREP} αὐτοῦ 846 {P-GSM} ἐγένετο, 1096 {V-2ADI-3S} καὶ 2532 {CONJ} χωρὶς 5565 {ADV} αὐτοῦ 846 {P-GSM} ἐγένετο 1096 {V-2ADI-3S} οὐδὲ 3761 {CONJ-N} ἓν 1520 {A-NSN} ὃ 3739 {R-NSN} γέγονεν." 1096 {V-2RAI-3S} "
1,4,"Ἐν 1722 {PREP} αὐτῷ 846 {P-DSM} ζωὴ 2222 {N-NSF} ἦν, 1510 {V-IAI-3S} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} ζωὴ 2222 {N-NSF} ἦν 1510 {V-IAI-3S} τὸ 3588 {T-NSN} φῶς 5457 {N-NSN} τῶν 3588 {T-GPM} ἀνθρώπων, 444 {N-GPM} " "
1,5,"καὶ 2532 {CONJ} τὸ 3588 {T-NSN} φῶς 5457 {N-NSN} ἐν 1722 {PREP} τῇ 3588 {T-DSF} σκοτίᾳ 4653 {N-DSF} φαίνει, 5316 {V-PAI-3S} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} σκοτία 4653 {N-NSF} αὐτὸ 846 {P-ASN} οὐ 3756 {PRT-N} κατέλαβεν." 2638 {V-2AAI-3S} "
1,6,"Ἐγένετο 1096 {V-2ADI-3S} ἄνθρωπος 444 {N-NSM} ἀπεσταλμένος 649 {V-RPP-NSM} παρὰ 3844 {PREP} θεοῦ, 2316 {N-GSM} ὄνομα 3686 {N-NSN} αὐτῷ 846 {P-DSM} Ἰωάννης." 2491 {N-NSM} "
1,7,"Οὗτος 3778 {D-NSM} ἦλθεν 2064 {V-2AAI-3S} εἰς 1519 {PREP} μαρτυρίαν, 3141 {N-ASF} ἵνα 2443 {CONJ} μαρτυρήσῃ 3140 {V-AAS-3S} περὶ 4012 {PREP} τοῦ 3588 {T-GSN} φωτός, 5457 {N-GSN} ἵνα 2443 {CONJ} πάντες 3956 {A-NPM} πιστεύσωσιν 4100 {V-AAS-3P} δι’ 1223 {PREP} αὐτοῦ." 846 {P-GSM} "
1,8,"Οὐκ 3756 {PRT-N} ἦν 1510 {V-IAI-3S} ἐκεῖνος 1565 {D-NSM} τὸ 3588 {T-NSN} φῶς, 5457 {N-NSN} ἀλλ’ 235 {CONJ} ἵνα 2443 {CONJ} μαρτυρήσῃ 3140 {V-AAS-3S} περὶ 4012 {PREP} τοῦ 3588 {T-GSN} φωτός." 5457 {N-GSN} "
1,9,"Ἦν 1510 {V-IAI-3S} τὸ 3588 {T-NSN} φῶς 5457 {N-NSN} τὸ 3588 {T-NSN} ἀληθινόν, 228 {A-NSN} ὃ 3739 {R-NSN} φωτίζει 5461 {V-PAI-3S} πάντα 3956 {A-ASM} ἄνθρωπον 444 {N-ASM} ἐρχόμενον 2064 {V-PNP-ASM} εἰς {V-PNP-NSN} εις τὸν {PREP} τον κόσμον." {T-ASM} κοσμον {N-ASM} "
1,10,"Ἐν 1722 {PREP} τῷ 3588 {T-DSM} κόσμῳ 2889 {N-DSM} ἦν, 1510 {V-IAI-3S} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} κόσμος 2889 {N-NSM} δι’ 1223 {PREP} αὐτοῦ 846 {P-GSM} ἐγένετο, 1096 {V-2ADI-3S} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} κόσμος 2889 {N-NSM} αὐτὸν 846 {P-ASM} οὐκ 3756 {PRT-N} ἔγνω." 1097 {V-2AAI-3S} "
1,11,"Εἰς 1519 {PREP} τὰ 3588 {T-APN} ἴδια 2398 {A-APN} ἦλθεν, 2064 {V-2AAI-3S} καὶ 2532 {CONJ} οἱ 3588 {T-NPM} ἴδιοι 2398 {A-NPM} αὐτὸν 846 {P-ASM} οὐ 3756 {PRT-N} παρέλαβον." 3880 {V-2AAI-3P} "
1,12,"Ὅσοι 3745 {K-NPM} δὲ 1161 {CONJ} ἔλαβον 2983 {V-2AAI-3P} αὐτόν, 846 {P-ASM} ἔδωκεν 1325 {V-AAI-3S} αὐτοῖς 846 {P-DPM} ἐξουσίαν 1849 {N-ASF} τέκνα 5043 {N-NPN} θεοῦ 2316 {N-GSM} γενέσθαι, 1096 {V-2ADN} τοῖς 3588 {T-DPM} πιστεύουσιν 4100 {V-PAP-DPM} εἰς 1519 {PREP} τὸ 3588 {T-ASN} ὄνομα 3686 {N-ASN} αὐτοῦ·" 846 {P-GSM} "
1,13,"οἳ 3739 {R-NPM} οὐκ 3756 {PRT-N} ἐξ 1537 {PREP} αἱμάτων, 129 {N-GPN} οὐδὲ 3761 {CONJ-N} ἐκ 1537 {PREP} θελήματος 2307 {N-GSN} σαρκός, 4561 {N-GSF} οὐδὲ 3761 {CONJ-N} ἐκ 1537 {PREP} θελήματος 2307 {N-GSN} ἀνδρός, 435 {N-GSM} ἀλλ’ 235 {CONJ} ἐκ 1537 {PREP} θεοῦ 2316 {N-GSM} ἐγεννήθησαν." 1080 {V-API-3P} "
1,14,"Καὶ 2532 {CONJ} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} σὰρξ 4561 {N-NSF} ἐγένετο, 1096 {V-2ADI-3S} καὶ 2532 {CONJ} ἐσκήνωσεν 4637 {V-AAI-3S} ἐν 1722 {PREP} ἡμῖν- 1473 {P-1DP} καὶ 2532 {CONJ} ἐθεασάμεθα 2300 {V-ADI-1P} τὴν 3588 {T-ASF} δόξαν 1391 {N-ASF} αὐτοῦ, 846 {P-GSM} δόξαν 1391 {N-ASF} ὡς 5613 {ADV} μονογενοῦς 3439 {A-GSM} παρὰ 3844 {PREP} πατρός- 3962 {N-GSM} πλήρης 4134 {A-NSM} χάριτος 5485 {N-GSF} καὶ 2532 {CONJ} ἀληθείας." 225 {N-GSF} "
1,15,"Ἰωάννης 2491 {N-NSM} μαρτυρεῖ 3140 {V-PAI-3S} περὶ 4012 {PREP} αὐτοῦ, 846 {P-GSM} καὶ 2532 {CONJ} κέκραγεν 2896 {V-2RAI-3S} λέγων, 3004 {V-PAP-NSM} Οὗτος 3778 {D-NSM} ἦν 1510 {V-IAI-3S} ὃν 3739 {R-ASM} εἶπον, 3004 {V-2AAI-1S} Ὁ 3588 {T-NSM} ὀπίσω 3694 {ADV} μου 1473 {P-1GS} ἐρχόμενος 2064 {V-PNP-NSM} ἔμπροσθέν 1715 {PREP} μου 1473 {P-1GS} γέγονεν· 1096 {V-2RAI-3S} ὅτι 3754 {CONJ} πρῶτός 4413 {A-NSM-S} μου 1473 {P-1GS} ἦν." 1510 {V-IAI-3S} "
1,16,"Καὶ 2532 {CONJ} ἐκ 1537 {PREP} τοῦ 3588 {T-GSN} πληρώματος 4138 {N-GSN} αὐτοῦ 846 {P-GSM} ἡμεῖς 1473 {P-1NP} πάντες 3956 {A-NPM} ἐλάβομεν, 2983 {V-2AAI-1P} καὶ 2532 {CONJ} χάριν 5485 {N-ASF} ἀντὶ 473 {PREP} χάριτος." 5485 {N-GSF} "
1,17,"Ὅτι 3754 {CONJ} ὁ 3588 {T-NSM} νόμος 3551 {N-NSM} διὰ 1223 {PREP} Μωσέως 3475 {N-GSM} ἐδόθη, 1325 {V-API-3S} ἡ 3588 {T-NSF} χάρις 5485 {N-NSF} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} ἀλήθεια 225 {N-NSF} διὰ 1223 {PREP} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} ἐγένετο." 1096 {V-2ADI-3S} "
1,18,"Θεὸν 2316 {N-ASM} οὐδεὶς 3762 {A-NSM-N} ἑώρακεν 3708 {V-RAI-3S-ATT} πώποτε· 4455 {ADV} ὁ 3588 {T-NSM} μονογενὴς 3439 {A-NSM} υἱός, 5207 {N-NSM} ὁ 3588 {T-NSM} ὢν 1510 {V-PAP-NSM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} κόλπον 2859 {N-ASM} τοῦ 3588 {T-GSM} πατρός, 3962 {N-GSM} ἐκεῖνος 1565 {D-NSM} ἐξηγήσατο." 1834 {V-ADI-3S} "
1,19,"Καὶ 2532 {CONJ} αὕτη 3778 {D-NSF} ἐστὶν 1510 {V-PAI-3S} ἡ 3588 {T-NSF} μαρτυρία 3141 {N-NSF} τοῦ 3588 {T-GSM} Ἰωάννου, 2491 {N-GSM} ὅτε 3753 {ADV} ἀπέστειλαν 649 {V-AAI-3P} οἱ 3588 {T-NPM} Ἰουδαῖοι 2453 {A-NPM} ἐξ 1537 {PREP} Ἱεροσολύμων 2414 {N-GPN} ἱερεῖς 2409 {N-APM} καὶ 2532 {CONJ} Λευΐτας 3019 {N-APM} ἵνα 2443 {CONJ} ἐρωτήσωσιν 2065 {V-AAS-3P} αὐτόν, 846 {P-ASM} Σὺ 4771 {P-2NS} τίς 5101 {I-NSM} εἶ," 1510 {V-PAI-2S} "
1,20,"Καὶ 2532 {CONJ} ὡμολόγησεν, 3670 {V-AAI-3S} καὶ 2532 {CONJ} οὐκ 3756 {PRT-N} ἠρνήσατο· 720 {V-ADI-3S} καὶ 2532 {CONJ} ὡμολόγησεν 3670 {V-AAI-3S} ὅτι 3754 {CONJ} Οὐκ 3756 {PRT-N} εἰμὶ 1510 {V-PAI-1S} ἐγὼ 1473 {P-1NS} ὁ 3588 {T-NSM} χριστός." 5547 {N-NSM} "
1,21,"Καὶ 2532 {CONJ} ἠρώτησαν 2065 {V-AAI-3P} αὐτόν, 846 {P-ASM} Τί 5101 {I-NSN} οὖν, 3767 {CONJ} Ἠλίας 2243 {N-NSM} εἶ 1510 {V-PAI-2S} σύ, 4771 {P-2NS} Καὶ 2532 {CONJ} λέγει, 3004 {V-PAI-3S} Οὐκ 3756 {PRT-N} εἰμί. 1510 {V-PAI-1S} Ὁ 3588 {T-NSM} προφήτης 4396 {N-NSM} εἶ 1510 {V-PAI-2S} σύ, 4771 {P-2NS} Καὶ 2532 {CONJ} ἀπεκρίθη, 611 {V-ADI-3S} Οὔ." 3756 {PRT-N} "
1,22,"Εἶπον 3004 {V-2AAI-3P} οὖν 3767 {CONJ} αὐτῷ, 846 {P-DSM} Τίς 5101 {I-NSM} εἶ, 1510 {V-PAI-2S} Ἵνα 2443 {CONJ} ἀπόκρισιν 612 {N-ASF} δῶμεν 1325 {V-2AAS-1P} τοῖς 3588 {T-DPM} πέμψασιν 3992 {V-AAP-DPM} ἡμᾶς. 1473 {P-1AP} Τί 5101 {I-ASN} λέγεις 3004 {V-PAI-2S} περὶ 4012 {PREP} σεαυτοῦ," 4572 {F-2GSM} "
1,23,"Ἔφη, 5346 {V-IAI-3S} Ἐγὼ 1473 {P-1NS} φωνὴ 5456 {N-NSF} βοῶντος 994 {V-PAP-GSM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἐρήμῳ, 2048 {A-DSF} Εὐθύνατε 2116 {V-AAM-2P} τὴν 3588 {T-ASF} ὁδὸν 3598 {N-ASF} κυρίου, 2962 {N-GSM} καθὼς 2531 {ADV} εἶπεν 3004 {V-2AAI-3S} Ἠσαΐας 2268 {N-NSM} ὁ 3588 {T-NSM} προφήτης." 4396 {N-NSM} "
1,24,Καὶ 2532 {CONJ} οἱ 3588 {T-NPM} ἀπεσταλμένοι 649 {V-RPP-NPM} ἦσαν 1510 {V-IAI-3P} ἐκ 1537 {PREP} τῶν 3588 {T-GPM} Φαρισαίων. 5330 {N-GPM} 
1,25,"Καὶ 2532 {CONJ} ἠρώτησαν 2065 {V-AAI-3P} αὐτόν, 846 {P-ASM} καὶ 2532 {CONJ} εἶπον 3004 {V-2AAI-3P} αὐτῷ, 846 {P-DSM} Τί 5101 {I-ASN} οὖν 3767 {CONJ} βαπτίζεις, 907 {V-PAI-2S} εἰ 1487 {COND} σὺ 4771 {P-2NS} οὐκ 3756 {PRT-N} εἶ 1510 {V-PAI-2S} ὁ 3588 {T-NSM} χριστός, 5547 {N-NSM} οὔτε 3777 {CONJ-N} Ἠλίας, 2243 {N-NSM} οὔτε 3777 {CONJ-N} ὁ 3588 {T-NSM} προφήτης," 4396 {N-NSM} "
1,26,"Ἀπεκρίθη 611 {V-ADI-3S} αὐτοῖς 846 {P-DPM} ὁ 3588 {T-NSM} Ἰωάννης 2491 {N-NSM} λέγων, 3004 {V-PAP-NSM} Ἐγὼ 1473 {P-1NS} βαπτίζω 907 {V-PAI-1S} ἐν 1722 {PREP} ὕδατι· 5204 {N-DSN} μέσος 3319 {A-NSM} δὲ 1161 {CONJ} ὑμῶν 4771 {P-2GP} ἕστηκεν 2476 {V-RAI-3S} ὃν 3739 {R-ASM} ὑμεῖς 4771 {P-2NP} οὐκ 3756 {PRT-N} οἴδατε." 1492 {V-RAI-2P} "
1,27,"Αὐτός 846 {P-NSM} ἐστιν 1510 {V-PAI-3S} ὁ 3588 {T-NSM} ὀπίσω 3694 {ADV} μου 1473 {P-1GS} ἐρχόμενος, 2064 {V-PNP-NSM} ὃς 3739 {R-NSM} ἔμπροσθέν 1715 {PREP} μου 1473 {P-1GS} γέγονεν· 1096 {V-2RAI-3S} οὗ 3739 {R-GSM} ἐγὼ 1473 {P-1NS} οὐκ 3756 {PRT-N} εἰμὶ 1510 {V-PAI-1S} ἄξιος 514 {A-NSM} ἵνα 2443 {CONJ} λύσω 3089 {V-AAS-1S} αὐτοῦ 846 {P-GSM} τὸν 3588 {T-ASM} ἱμάντα 2438 {N-ASM} τοῦ 3588 {T-GSN} ὑποδήματος." 5266 {N-GSN} "
1,28,"Ταῦτα 3778 {D-NPN} ἐν 1722 {PREP} Βηθανίᾳ 963 {N-DSF} ἐγένετο 1096 {V-2ADI-3S} πέραν 4008 {ADV} τοῦ 3588 {T-GSM} Ἰορδάνου, 2446 {N-GSM} ὅπου 3699 {ADV} ἦν 1510 {V-IAI-3S} Ἰωάννης 2491 {N-NSM} βαπτίζων." 907 {V-PAP-NSM} "
1,29,"Τῇ 3588 {T-DSF} ἐπαύριον 1887 {ADV} βλέπει 991 {V-PAI-3S} τὸν 3588 {T-ASM} Ἰησοῦν 2424 {N-ASM} ἐρχόμενον 2064 {V-PNP-ASM} πρὸς 4314 {PREP} αὐτόν, 846 {P-ASM} καὶ 2532 {CONJ} λέγει, 3004 {V-PAI-3S} Ἴδε 2396 {V-2AAM-2S} ὁ 3588 {T-NSM} ἀμνὸς 286 {N-NSM} τοῦ 3588 {T-GSM} θεοῦ, 2316 {N-GSM} ὁ 3588 {T-NSM} αἴρων 142 {V-PAP-NSM} τὴν 3588 {T-ASF} ἁμαρτίαν 266 {N-ASF} τοῦ 3588 {T-GSM} κόσμου." 2889 {N-GSM} "
1,30,"Οὗτός 3778 {D-NSM} ἐστιν 1510 {V-PAI-3S} περὶ 4012 {PREP} οὗ 3739 {R-GSM} ἐγὼ 1473 {P-1NS} εἶπον, 3004 {V-2AAI-1S} Ὀπίσω 3694 {ADV} μου 1473 {P-1GS} ἔρχεται 2064 {V-PNI-3S} ἀνὴρ 435 {N-NSM} ὃς 3739 {R-NSM} ἔμπροσθέν 1715 {PREP} μου 1473 {P-1GS} γέγονεν, 1096 {V-2RAI-3S} ὅτι 3754 {CONJ} πρῶτός 4413 {A-NSM-S} μου 1473 {P-1GS} ἦν." 1510 {V-IAI-3S} "
1,31,"Κἀγὼ 2504 {P-1NS-K} οὐκ 3756 {PRT-N} ᾔδειν 1492 {V-2LAI-1S} αὐτόν· 846 {P-ASM} ἀλλ’ 235 {CONJ} ἵνα 2443 {CONJ} φανερωθῇ 5319 {V-APS-3S} τῷ 3588 {T-DSM} Ἰσραήλ, 2474 {N-PRI} διὰ 1223 {PREP} τοῦτο 3778 {D-ASN} ἦλθον 2064 {V-2AAI-1S} ἐγὼ 1473 {P-1NS} ἐν 1722 {PREP} τῷ 3588 {T-DSN} ὕδατι 5204 {N-DSN} βαπτίζων." 907 {V-PAP-NSM} "
1,32,"Καὶ 2532 {CONJ} ἐμαρτύρησεν 3140 {V-AAI-3S} Ἰωάννης 2491 {N-NSM} λέγων 3004 {V-PAP-NSM} ὅτι 3754 {CONJ} Τεθέαμαι 2300 {V-RNI-1S} τὸ 3588 {T-ASN} πνεῦμα 4151 {N-ASN} καταβαῖνον 2597 {V-PAP-ASN} ὡσεὶ 5616 {ADV} περιστερὰν 4058 {N-ASF} ἐξ 1537 {PREP} οὐρανοῦ, 3772 {N-GSM} καὶ 2532 {CONJ} ἔμεινεν 3306 {V-AAI-3S} ἐπ’ 1909 {PREP} αὐτόν." 846 {P-ASM} "
1,33,"Κἀγὼ 2504 {P-1NS-K} οὐκ 3756 {PRT-N} ᾔδειν 1492 {V-2LAI-1S} αὐτόν· 846 {P-ASM} ἀλλ’ 235 {CONJ} ὁ 3588 {T-NSM} πέμψας 3992 {V-AAP-NSM} με 1473 {P-1AS} βαπτίζειν 907 {V-PAN} ἐν 1722 {PREP} ὕδατι, 5204 {N-DSN} ἐκεῖνός 1565 {D-NSM} μοι 1473 {P-1DS} εἶπεν, 3004 {V-2AAI-3S} Ἐφ’ 1909 {PREP} ὃν 3739 {R-ASM} ἂν 302 {PRT} ἴδῃς 3708 {V-2AAS-2S} τὸ 3588 {T-ASN} πνεῦμα 4151 {N-ASN} καταβαῖνον 2597 {V-PAP-ASN} καὶ 2532 {CONJ} μένον 3306 {V-PAP-ASN} ἐπ’ 1909 {PREP} αὐτόν, 846 {P-ASM} οὗτός 3778 {D-NSM} ἐστιν 1510 {V-PAI-3S} ὁ 3588 {T-NSM} βαπτίζων 907 {V-PAP-NSM} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἁγίῳ." 40 {A-DSN} "
1,34,"Κἀγὼ 2504 {P-1NS-K} ἑώρακα, 3708 {V-RAI-1S-ATT} καὶ 2532 {CONJ} μεμαρτύρηκα 3140 {V-RAI-1S} ὅτι 3754 {CONJ} οὗτός 3778 {D-NSM} ἐστιν 1510 {V-PAI-3S} ὁ 3588 {T-NSM} υἱὸς 5207 {N-NSM} τοῦ 3588 {T-GSM} θεοῦ." 2316 {N-GSM} "
1,35,"Τῇ 3588 {T-DSF} ἐπαύριον 1887 {ADV} πάλιν 3825 {ADV} εἱστήκει 2476 {V-LAI-3S} ὁ 3588 {T-NSM} Ἰωάννης, 2491 {N-NSM} καὶ 2532 {CONJ} ἐκ 1537 {PREP} τῶν 3588 {T-GPM} μαθητῶν 3101 {N-GPM} αὐτοῦ 846 {P-GSM} δύο·" 1417 {A-NUI} "
1,36,"καὶ 2532 {CONJ} ἐμβλέψας 1689 {V-AAP-NSM} τῷ 3588 {T-DSM} Ἰησοῦ 2424 {N-DSM} περιπατοῦντι, 4043 {V-PAP-DSM} λέγει, 3004 {V-PAI-3S} Ἴδε 2396 {V-2AAM-2S} ὁ 3588 {T-NSM} ἀμνὸς 286 {N-NSM} τοῦ 3588 {T-GSM} θεοῦ." 2316 {N-GSM} "
1,37,"Καὶ 2532 {CONJ} ἤκουσαν 191 {V-AAI-3P} αὐτοῦ 846 {P-GSM} οἱ 3588 {T-NPM} δύο 1417 {A-NUI} μαθηταὶ 3101 {N-NPM} λαλοῦντος, 2980 {V-PAP-GSM} καὶ 2532 {CONJ} ἠκολούθησαν 190 {V-AAI-3P} τῷ 3588 {T-DSM} Ἰησοῦ." 2424 {N-DSM} "
