chapter,verse,text
1,1,"Τὸν 3588 {T-ASM} μὲν 3303 {PRT} πρῶτον 4413 {A-ASM-S} λόγον 3056 {N-ASM} ἐποιησάμην 4160 {V-AMI-1S} περὶ 4012 {PREP} πάντων, 3956 {A-GPN} ὦ 5599 {INJ} Θεόφιλε, 2321 {N-VSM} ὧν 3739 {R-GPN} ἤρξατο 756 {V-AMI-3S} ὁ 3588 {T-NSM} Ἰησοῦς 2424 {N-NSM} ποιεῖν 4160 {V-PAN} τε 5037 {PRT} καὶ 2532 {CONJ} διδάσκειν, 1321 {V-PAN} " "
1,2,"ἄχρι 891 {ADV} ἧς 3739 {R-GSF} ἡμέρας, 2250 {N-GSF} ἐντειλάμενος 1781 {V-ANP-NSM} τοῖς 3588 {T-DPM} ἀποστόλοις 652 {N-DPM} διὰ 1223 {PREP} πνεύματος 4151 {N-GSN} ἁγίου 40 {A-GSN} οὓς 3739 {R-APM} ἐξελέξατο, 1586 {V-AMI-3S} ἀνελήφθη·" 353 {V-API-3S} "
1,3,"οἷς 3739 {R-DPM} καὶ 2532 {CONJ} παρέστησεν 3936 {V-AAI-3S} ἑαυτὸν 1438 {F-3ASM} ζῶντα 2198 {V-PAP-ASM} μετὰ 3326 {PREP} τὸ 3588 {T-ASN} παθεῖν 3958 {V-2AAN} αὐτὸν 846 {P-ASM} ἐν 1722 {PREP} πολλοῖς 4183 {A-DPN} τεκμηρίοις, 5039 {N-DPN} δι’ 1223 {PREP} ἡμερῶν 2250 {N-GPF} τεσσαράκοντα 5062 {A-NUI} ὀπτανόμενος 3700 {V-PNP-NSM} αὐτοῖς, 846 {P-DPM} καὶ 2532 {CONJ} λέγων 3004 {V-PAP-NSM} τὰ 3588 {T-APN} περὶ 4012 {PREP} τῆς 3588 {T-GSF} βασιλείας 932 {N-GSF} τοῦ 3588 {T-GSM} θεοῦ." 2316 {N-GSM}"
1,4,"Καὶ 2532 {CONJ} συναλιζόμενος 4871 {V-PNP-NSM} παρήγγειλεν 3853 {V-AAI-3S} αὐτοῖς 846 {P-DPM} ἀπὸ 575 {PREP} Ἱεροσολύμων 2414 {N-GPN} μὴ 3361 {PRT-N} χωρίζεσθαι, 5563 {V-PPN} ἀλλὰ 235 {CONJ} περιμένειν 4037 {V-PAN} τὴν 3588 {T-ASF} ἐπαγγελίαν 1860 {N-ASF} τοῦ 3588 {T-GSM} πατρός, 3962 {N-GSM} Ἣν 3739 {R-ASF} ἠκούσατέ 191 {V-AAI-2P} μου·" 1473 {P-1GS}"
1,5,"ὅτι 3754 {CONJ} Ἰωάννης 2491 {N-NSM} μὲν 3303 {PRT} ἐβάπτισεν 907 {V-AAI-3S} ὕδατι, 5204 {N-DSN} ὑμεῖς 4771 {P-2NP} δὲ 1161 {CONJ} βαπτισθήσεσθε 907 {V-FPI-2P} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἁγίῳ 40 {A-DSN} οὐ 3756 {PRT-N} μετὰ 3326 {PREP} πολλὰς 4183 {A-APF} ταύτας 3778 {D-APF} ἡμέρας." 2250 {N-APF} "
1,6,"Οἱ 3588 {T-NPM} μὲν 3303 {PRT} οὖν 3767 {CONJ} συνελθόντες 4905 {V-2AAP-NPM} ἐπηρώτων 1905 {V-IAI-3P} αὐτὸν 846 {P-ASM} λέγοντες, 3004 {V-PAP-NPM} Κύριε, 2962 {N-VSM} εἰ 1487 {COND} ἐν 1722 {PREP} τῷ 3588 {T-DSM} χρόνῳ 5550 {N-DSM} τούτῳ 3778 {D-DSM} ἀποκαθιστάνεις 600 {V-PAI-2S} τὴν 3588 {T-ASF} βασιλείαν 932 {N-ASF} τῷ 3588 {T-DSM} Ἰσραήλ," 2474 {N-PRI} "
1,7,"Εἶπεν 3004 {V-2AAI-3S} δὲ 1161 {CONJ} πρὸς 4314 {PREP} αὐτούς, 846 {P-APM} Οὐχ 3756 {PRT-N} ὑμῶν 4771 {P-2GP} ἐστιν 1510 {V-PAI-3S} γνῶναι 1097 {V-2AAN} χρόνους 5550 {N-APM} ἢ 2228 {PRT} καιροὺς 2540 {N-APM} οὓς 3739 {R-APM} ὁ 3588 {T-NSM} πατὴρ 3962 {N-NSM} ἔθετο 5087 {V-2AMI-3S} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἰδίᾳ 2398 {A-DSF} ἐξουσίᾳ." 1849 {N-DSF}"
1,8,"Ἀλλὰ 235 {CONJ} λήψεσθε 2983 {V-FDI-2P} δύναμιν, 1411 {N-ASF} ἐπελθόντος 1904 {V-2AAP-GSN} τοῦ 3588 {T-GSN} ἁγίου 40 {A-GSN} πνεύματος 4151 {N-GSN} ἐφ’ 1909 {PREP} ὑμᾶς· 4771 {P-2AP} καὶ 2532 {CONJ} ἔσεσθέ 1510 {V-FDI-2P} μοι 1473 {P-1DS} μάρτυρες 3144 {N-NPM} ἔν 1722 {PREP} τε 5037 {PRT} Ἱερουσαλήμ, 2419 {N-PRI} καὶ 2532 {CONJ} ἐν 1722 {PREP} πάσῃ 3956 {A-DSF} τῇ 3588 {T-DSF} Ἰουδαίᾳ 2449 {N-DSF} καὶ 2532 {CONJ} Σαμαρείᾳ, 4540 {N-DSF} καὶ 2532 {CONJ} ἕως 2193 {ADV} ἐσχάτου 2078 {A-GSM-S} τῆς 3588 {T-GSF} γῆς." 1093 {N-GSF} "
1,9,"Καὶ 2532 {CONJ} ταῦτα 3778 {D-APN} εἰπών, 3004 {V-2AAP-NSM} βλεπόντων 991 {V-PAP-GPM} αὐτῶν 846 {P-GPM} ἐπήρθη, 1869 {V-API-3S} καὶ 2532 {CONJ} νεφέλη 3507 {N-NSF} ὑπέλαβεν 5274 {V-2AAI-3S} αὐτὸν 846 {P-ASM} ἀπὸ 575 {PREP} τῶν 3588 {T-GPM} ὀφθαλμῶν 3788 {N-GPM} αὐτῶν." 846 {P-GPM} "
1,10,"Καὶ 2532 {CONJ} ὡς 5613 {ADV} ἀτενίζοντες 816 {V-PAP-NPM} ἦσαν 1510 {V-IAI-3P} εἰς 1519 {PREP} τὸν 3588 {T-ASM} οὐρανόν, 3772 {N-ASM} πορευομένου 4198 {V-PNP-GSM} αὐτοῦ, 846 {P-GSM} καὶ 2532 {CONJ} ἰδοὺ 3708 {V-2AMM-2S} ἄνδρες 435 {N-NPM} δύο 1417 {A-NUI} παρειστήκεισαν 3936 {V-LAI-3P} αὐτοῖς 846 {P-DPM} ἐν 1722 {PREP} ἐσθῆτι 2066 {N-DSF} λευκῇ, 3022 {A-DSF} "
1,11,"οἳ 3739 {R-NPM} καὶ 2532 {CONJ} εἶπον, 3004 {V-2AAI-3P} Ἄνδρες 435 {N-VPM} Γαλιλαῖοι, 1057 {N-VPM} τί 5101 {I-ASN} ἑστήκατε 2476 {V-RAI-2P} ἐμβλέποντες 1689 {V-PAP-NPM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} οὐρανόν, 3772 {N-ASM} Οὗτος 3778 {D-NSM} ὁ 3588 {T-NSM} Ἰησοῦς, 2424 {N-NSM} ὁ 3588 {T-NSM} ἀναληφθεὶς 353 {V-APP-NSM} ἀφ’ 575 {PREP} ὑμῶν 4771 {P-2GP} εἰς 1519 {PREP} τὸν 3588 {T-ASM} οὐρανόν, 3772 {N-ASM} οὕτως 3779 {ADV} ἐλεύσεται 2064 {V-FDI-3S} ὃν 3739 {R-ASM} τρόπον 5158 {N-ASM} ἐθεάσασθε 2300 {V-ADI-2P} αὐτὸν 846 {P-ASM} πορευόμενον 4198 {V-PNP-ASM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} οὐρανόν." 3772 {N-ASM}"
1,12,"Τότε 5119 {ADV} ὑπέστρεψαν 5290 {V-AAI-3P} εἰς 1519 {PREP} Ἱερουσαλὴμ 2419 {N-PRI} ἀπὸ 575 {PREP} ὄρους 3735 {N-GSN} τοῦ 3588 {T-GSN} καλουμένου 2564 {V-PPP-GSN} Ἐλαιῶνος, 1638 {N-GSM} ὅ 3739 {R-NSN} ἐστιν 1510 {V-PAI-3S} ἐγγὺς 1451 {ADV} Ἱερουσαλήμ, 2419 {N-PRI} σαββάτου 4521 {N-GSN} ἔχον 2192 {V-PAP-NSN} ὁδόν." 3598 {N-ASF} "
1,13,"Καὶ 2532 {CONJ} ὅτε 3753 {ADV} εἰσῆλθον, 1525 {V-2AAI-3P} ἀνέβησαν 305 {V-2AAI-3P} εἰς 1519 {PREP} τὸ 3588 {T-ASN} ὑπερῷον 5253 {N-ASN} οὗ 3757 {ADV} ἦσαν 1510 {V-IAI-3P} καταμένοντες, 2650 {V-PAP-NPM} ὅ 3588 {T-NSM} τε 5037 {PRT} Πέτρος 4074 {N-NSM} καὶ 2532 {CONJ} Ἰάκωβος 2385 {N-NSM} καὶ 2532 {CONJ} Ἰωάννης 2491 {N-NSM} καὶ 2532 {CONJ} Ἀνδρέας, 406 {N-NSM} Φίλιππος 5376 {N-NSM} καὶ 2532 {CONJ} Θωμᾶς, 2381 {N-NSM} Βαρθολομαῖος 918 {N-NSM} καὶ 2532 {CONJ} Ματθαῖος, 3156 {N-NSM} Ἰάκωβος 2385 {N-NSM} Ἀλφαίου 256 {N-GSM} καὶ 2532 {CONJ} Σίμων 4613 {N-NSM} ὁ 3588 {T-NSM} Ζηλωτής, 2207 {N-NSM} καὶ 2532 {CONJ} Ἰούδας 2455 {N-NSM} Ἰακώβου." 2385 {N-GSM} "
1,14,"Οὗτοι 3778 {D-NPM} πάντες 3956 {A-NPM} ἦσαν 1510 {V-IAI-3P} προσκαρτεροῦντες 4342 {V-PAP-NPM} ὁμοθυμαδὸν 3661 {ADV} τῇ 3588 {T-DSF} προσευχῇ 4335 {N-DSF} καὶ 2532 {CONJ} τῇ 3588 {T-DSF} δεήσει, 1162 {N-DSF} σὺν 4862 {PREP} γυναιξὶν 1135 {N-DPF} καὶ 2532 {CONJ} Μαρίᾳ 3137 {N-DSF} τῇ 3588 {T-DSF} μητρὶ 3384 {N-DSF} τοῦ 3588 {T-GSM} Ἰησοῦ, 2424 {N-GSM} καὶ 2532 {CONJ} σὺν 4862 {PREP} τοῖς 3588 {T-DPM} ἀδελφοῖς 80 {N-DPM} αὐτοῦ." 846 {P-GSM}"
1,15,"Καὶ 2532 {CONJ} ἐν 1722 {PREP} ταῖς 3588 {T-DPF} ἡμέραις 2250 {N-DPF} ταύταις 3778 {D-DPF} ἀναστὰς 450 {V-2AAP-NSM} Πέτρος 4074 {N-NSM} ἐν 1722 {PREP} μέσῳ 3319 {A-DSN} τῶν 3588 {T-GPM} μαθητῶν 3101 {N-GPM} εἶπεν- 3004 {V-2AAI-3S} ἦν 1510 {V-IAI-3S} τε 5037 {PRT} ὄχλος 3793 {N-NSM} ὀνομάτων 3686 {N-GPN} ἐπὶ 1909 {PREP} τὸ 3588 {T-ASN} αὐτὸ 846 {P-ASN} ὡς 5613 {ADV} ἑκατὸν 1540 {A-NUI} εἴκοσι-" 1501 {A-NUI} "
1,16,"Ἄνδρες 435 {N-VPM} ἀδελφοί, 80 {N-VPM} ἔδει 1163 {V-IAI-3S} πληρωθῆναι 4137 {V-APN} τὴν 3588 {T-ASF} γραφὴν 1124 {N-ASF} ταύτην, 3778 {D-ASF} ἣν 3739 {R-ASF} προεῖπεν 4302 {V-2AAI-3S} τὸ 3588 {T-NSN} πνεῦμα 4151 {N-NSN} τὸ 3588 {T-NSN} ἅγιον 40 {A-NSN} διὰ 1223 {PREP} στόματος 4750 {N-GSN} Δαυὶδ 1138 {N-PRI} περὶ 4012 {PREP} Ἰούδα, 2455 {N-GSM} τοῦ 3588 {T-GSM} γενομένου 1096 {V-2ADP-GSM} ὁδηγοῦ 3595 {N-GSM} τοῖς 3588 {T-DPM} συλλαβοῦσιν 4815 {V-2AAP-DPM} τὸν 3588 {T-ASM} Ἰησοῦν." 2424 {N-ASM}"
