chapter,verse,text
1,1,"Πέτρος, 4074 {N-NSM} ἀπόστολος 652 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ἐκλεκτοῖς 1588 {A-DPM} παρεπιδήμοις 3927 {A-DPM} διασπορᾶς 1290 {N-GSF} Πόντου, 4195 {N-GSM} Γαλατίας, 1053 {N-GSF} Καππαδοκίας, 2587 {N-GSF} Ἀσίας, 773 {N-GSF} καὶ 2532 {CONJ} Βιθυνίας, 978 {N-GSF} "
1,2,"κατὰ 2596 {PREP} πρόγνωσιν 4268 {N-ASF} θεοῦ 2316 {N-GSM} πατρός, 3962 {N-GSM} ἐν 1722 {PREP} ἁγιασμῷ 38 {N-DSM} πνεύματος, 4151 {N-GSN} εἰς 1519 {PREP} ὑπακοὴν 5218 {N-ASF} καὶ 2532 {CONJ} ῥαντισμὸν 4473 {N-ASM} αἵματος 129 {N-GSN} Ἰησοῦ 2424 {N-GSM} χριστοῦ· 5547 {N-GSM} χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} πληθυνθείη. 4129 {V-APO-3S} " 
1,3,"Εὐλογητὸς 2128 {A-NSM} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} καὶ 2532 {CONJ} πατὴρ 3962 {N-NSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ὁ 3588 {T-NSM} κατὰ 2596 {PREP} τὸ 3588 {T-ASN} πολὺ 4183 {A-ASN} αὐτοῦ 846 {P-GSM} ἔλεος 1656 {N-ASN} ἀναγεννήσας 313 {V-AAP-NSM} ἡμᾶς 1473 {P-1AP} εἰς 1519 {PREP} ἐλπίδα 1680 {N-ASF} ζῶσαν 2198 {V-PAP-ASF} δι’ 1223 {PREP} ἀναστάσεως 386 {N-GSF} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} ἐκ 1537 {PREP} νεκρῶν, 3498 {A-GPM} "
1,4,"εἰς 1519 {PREP} κληρονομίαν 2817 {N-ASF} ἄφθαρτον 862 {A-ASF} καὶ 2532 {CONJ} ἀμίαντον 283 {A-ASF} καὶ 2532 {CONJ} ἀμάραντον, 263 {A-ASF} τετηρημένην 5083 {V-RPP-ASF} ἐν 1722 {PREP} οὐρανοῖς 3772 {N-DPM} εἰς 1519 {PREP} ὑμᾶς, 4771 {P-2AP} "
1,5,τοὺς 3588 {T-APM} ἐν 1722 {PREP} δυνάμει 1411 {N-DSF} θεοῦ 2316 {N-GSM} φρουρουμένους 5432 {V-PPP-APM} διὰ 1223 {PREP} πίστεως 4102 {N-GSF} εἰς 1519 {PREP} σωτηρίαν 4991 {N-ASF} ἑτοίμην 2092 {A-ASF} ἀποκαλυφθῆναι 601 {V-APN} ἐν 1722 {PREP} καιρῷ 2540 {N-DSM} ἐσχάτῳ. 2078 {A-DSM-S}
1,6,"Ἐν 1722 {PREP} ᾧ 3739 {R-DSM} ἀγαλλιᾶσθε, {R-DSN} αγαλλιασθε ὀλίγον {V-PNI-2P} ολιγον ἄρτι, {ADV} αρτι εἰ {ADV} ει δέον {COND} δεον ἐστίν, {V-PAP-NSN} εστιν λυπηθέντες {V-PAI-3S} λυπηθεντες ἐν {V-APP-NPM} εν ποικίλοις {PREP} ποικιλοις πειρασμοῖς, {A-DPM} πειρασμοις{N-DPM} "
1,7,"ἵνα 2443 {CONJ} τὸ 3588 {T-NSN} δοκίμιον 1383 {N-NSN} ὑμῶν 4771 {P-2GP} τῆς 3588 {T-GSF} πίστεως 4102 {N-GSF} πολὺ 4183 {A-NSN} τιμιώτερον 5093 {A-NSN-C} χρυσίου 5553 {N-GSN} τοῦ 3588 {T-GSN} ἀπολλυμένου, 622 {V-PMP-GSN} διὰ 1223 {PREP} πυρὸς 4442 {N-GSN} δὲ 1161 {CONJ} δοκιμαζομένου, 1381 {V-PPP-GSN} εὑρεθῇ 2147 {V-APS-3S} εἰς 1519 {PREP} ἔπαινον 1868 {N-ASM} καὶ 2532 {CONJ} τιμὴν 5092 {N-ASF} καὶ 2532 {CONJ} εἰς 1519 {PREP} δόξαν 1391 {N-ASF} ἐν 1722 {PREP} ἀποκαλύψει 602 {N-DSF} Ἰησοῦ 2424 {N-GSM} χριστοῦ· 5547 {N-GSM} "
1,8,"ὃν 3739 {R-ASM} οὐκ 3756 {PRT-N} εἰδότες 1492 {V-RAP-NPM} ἀγαπᾶτε, 25 {V-PAI-2P} εἰς 1519 {PREP} ὃν 3739 {R-ASM} ἄρτι 737 {ADV} μὴ 3361 {PRT-N} ὁρῶντες, 3708 {V-PAP-NPM} πιστεύοντες 4100 {V-PAP-NPM} δέ, 1161 {CONJ} ἀγαλλιᾶσθε 21 {V-PNI-2P} χαρᾷ 5479 {N-DSF} ἀνεκλαλήτῳ 412 {A-DSF} καὶ 2532 {CONJ} δεδοξασμένῃ, 1392 {V-RPP-DSF} "
1,9,"κομιζόμενοι 2865 {V-PMP-NPM} τὸ 3588 {T-ASN} τέλος 5056 {N-ASN} τῆς 3588 {T-GSF} πίστεως 4102 {N-GSF} ὑμῶν, 4771 {P-2GP} σωτηρίαν 4991 {N-ASF} ψυχῶν. 5590 {N-GPF} "
1,10,Περὶ 4012 {PREP} ἧς 3739 {R-GSF} σωτηρίας 4991 {N-GSF} ἐξεζήτησαν 1567 {V-AAI-3P} καὶ 2532 {CONJ} ἐξηρεύνησαν 1830 {V-AAI-3P} προφῆται 4396 {N-NPM} οἱ 3588 {T-NPM} περὶ 4012 {PREP} τῆς 3588 {T-GSF} εἰς 1519 {PREP} ὑμᾶς 4771 {P-2AP} χάριτος 5485 {N-GSF} προφητεύσαντες· 4395 {V-AAP-NPM}
1,11,"ἐρευνῶντες 2045 {V-PAP-NPM} εἰς 1519 {PREP} τίνα 5101 {I-ASM} ἢ 2228 {PRT} ποῖον 4169 {I-ASM} καιρὸν 2540 {N-ASM} ἐδήλου 1213 {V-IAI-3S} τὸ 3588 {T-NSN} ἐν 1722 {PREP} αὐτοῖς 846 {P-DPM} πνεῦμα 4151 {N-NSN} χριστοῦ, 5547 {N-GSM} προμαρτυρόμενον 4303 {V-PNP-NSN} τὰ 3588 {T-APN} εἰς 1519 {PREP} χριστὸν 5547 {N-ASM} παθήματα, 3804 {N-APN} καὶ 2532 {CONJ} τὰς 3588 {T-APF} μετὰ 3326 {PREP} ταῦτα 3778 {D-APN} δόξας. 1391 {N-APF} "
1,12,"Οἷς 3739 {R-DPM} ἀπεκαλύφθη 601 {V-API-3S} ὅτι 3754 {CONJ} οὐχ 3756 {PRT-N} ἑαυτοῖς, 1438 {F-3DPM} ὑμῖν 4771 {P-2DP} δὲ 1161 {CONJ} διηκόνουν 1247 {V-IAI-3P} αὐτά, 846 {P-APN} ἃ 3739 {R-NPN} νῦν 3568 {ADV} ἀνηγγέλη 312 {V-2API-3S} ὑμῖν 4771 {P-2DP} διὰ 1223 {PREP} τῶν 3588 {T-GPM} εὐαγγελισαμένων 2097 {V-AMP-GPM} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἁγίῳ 40 {A-DSN} ἀποσταλέντι 649 {V-2APP-DSN} ἀπ’ 575 {PREP} οὐρανοῦ, 3772 {N-GSM} εἰς 1519 {PREP} ἃ 3739 {R-APN} ἐπιθυμοῦσιν 1937 {V-PAI-3P} ἄγγελοι 32 {N-NPM} παρακύψαι. 3879 {V-AAN} "
