chapter,verse,text
1,1,"Ὃ 3739 {R-NSN} ἦν 1510 {V-IAI-3S} ἀπ’ 575 {PREP} ἀρχῆς, 746 {N-GSF} ὃ 3739 {R-ASN} ἀκηκόαμεν, 191 {V-2RAI-1P-ATT} ὃ 3739 {R-ASN} ἑωράκαμεν 3708 {V-RAI-1P-ATT} τοῖς 3588 {T-DPM} ὀφθαλμοῖς 3788 {N-DPM} ἡμῶν, 1473 {P-1GP} ὃ 3739 {R-ASN} ἐθεασάμεθα, 2300 {V-ADI-1P} καὶ 2532 {CONJ} αἱ 3588 {T-NPF} χεῖρες 5495 {N-NPF} ἡμῶν 1473 {P-1GP} ἐψηλάφησαν 5584 {V-AAI-3P} περὶ 4012 {PREP} τοῦ 3588 {T-GSM} λόγου 3056 {N-GSM} τῆς 3588 {T-GSF} ζωῆς. 2222 {N-GSF} " 
1,2,"Καὶ 2532 {CONJ} ἡ 3588 {T-NSF} ζωὴ 2222 {N-NSF} ἐφανερώθη, 5319 {V-API-3S} καὶ 2532 {CONJ} ἑωράκαμεν, 3708 {V-RAI-1P-ATT} καὶ 2532 {CONJ} μαρτυροῦμεν, 3140 {V-PAI-1P} καὶ 2532 {CONJ} ἀπαγγέλλομεν 518 {V-PAI-1P} ὑμῖν 4771 {P-2DP} τὴν 3588 {T-ASF} ζωὴν 2222 {N-ASF} τὴν 3588 {T-ASF} αἰώνιον, 166 {A-ASF} ἥτις 3748 {R-NSF} ἦν 1510 {V-IAI-3S} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} πατέρα, 3962 {N-ASM} καὶ 2532 {CONJ} ἐφανερώθη 5319 {V-API-3S} ἡμῖν. 1473 {P-1DP} "
1,3,"Ὃ 3739 {R-ASN} ἑωράκαμεν 3708 {V-RAI-1P-ATT} καὶ 2532 {CONJ} ἀκηκόαμεν, 191 {V-2RAI-1P-ATT} ἀπαγγέλλομεν 518 {V-PAI-1P} ὑμῖν, 4771 {P-2DP} ἵνα 2443 {CONJ} καὶ 2532 {CONJ} ὑμεῖς 4771 {P-2NP} κοινωνίαν 2842 {N-ASF} ἔχητε 2192 {V-PAS-2P} μεθ’ 3326 {PREP} ἡμῶν· 1473 {P-1GP} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} κοινωνία 2842 {N-NSF} δὲ 1161 {CONJ} ἡ 3588 {T-NSF} ἡμετέρα 2251 {S-1PNSF} μετὰ 3326 {PREP} τοῦ 3588 {T-GSM} πατρὸς 3962 {N-GSM} καὶ 2532 {CONJ} μετὰ 3326 {PREP} τοῦ 3588 {T-GSM} υἱοῦ 5207 {N-GSM} αὐτοῦ 846 {P-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ· 5547 {N-GSM} "
1,4,"καὶ 2532 {CONJ} ταῦτα 3778 {D-APN} γράφομεν 1125 {V-PAI-1P} ὑμῖν, 4771 {P-2DP} ἵνα 2443 {CONJ} ἡ 3588 {T-NSF} χαρὰ 5479 {N-NSF} ἡμῶν 1473 {P-1GP} ᾖ 1510 {V-PAS-3S} πεπληρωμένη. 4137 {V-RPP-NSF} "
1,5,"Καὶ 2532 {CONJ} ἔστιν 1510 {V-PAI-3S} αὕτη 3778 {D-NSF} ἡ 3588 {T-NSF} ἀγγελία 31 {N-NSF} ἣν 3739 {R-ASF} ἀκηκόαμεν 191 {V-2RAI-1P-ATT} ἀπ’ 575 {PREP} αὐτοῦ 846 {P-GSM} καὶ 2532 {CONJ} ἀναγγέλλομεν 312 {V-PAI-1P} ὑμῖν, 4771 {P-2DP} ὅτι 3754 {CONJ} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} φῶς 5457 {N-NSN} ἐστίν, 1510 {V-PAI-3S} καὶ 2532 {CONJ} σκοτία 4653 {N-NSF} ἐν 1722 {PREP} αὐτῷ 846 {P-DSM} οὐκ 3756 {PRT-N} ἔστιν 1510 {V-PAI-3S} οὐδεμία. 3762 {A-NSF-N} "
1,6,"Ἐὰν 1437 {COND} εἴπωμεν 3004 {V-2AAS-1P} ὅτι 3754 {CONJ} κοινωνίαν 2842 {N-ASF} ἔχομεν 2192 {V-PAI-1P} μετ’ 3326 {PREP} αὐτοῦ, 846 {P-GSM} καὶ 2532 {CONJ} ἐν 1722 {PREP} τῷ 3588 {T-DSN} σκότει 4655 {N-DSN} περιπατῶμεν, 4043 {V-PAS-1P} ψευδόμεθα, 5574 {V-PNI-1P} καὶ 2532 {CONJ} οὐ 3756 {PRT-N} ποιοῦμεν 4160 {V-PAI-1P} τὴν 3588 {T-ASF} ἀλήθειαν· 225 {N-ASF} "
1,7,"ἐὰν 1437 {COND} δὲ 1161 {CONJ} ἐν 1722 {PREP} τῷ 3588 {T-DSN} φωτὶ 5457 {N-DSN} περιπατῶμεν, 4043 {V-PAS-1P} ὡς 5613 {ADV} αὐτός 846 {P-NSM} ἐστιν 1510 {V-PAI-3S} ἐν 1722 {PREP} τῷ 3588 {T-DSN} φωτί, 5457 {N-DSN} κοινωνίαν 2842 {N-ASF} ἔχομεν 2192 {V-PAI-1P} μετ’ 3326 {PREP} ἀλλήλων, 240 {C-GPM} καὶ 2532 {CONJ} τὸ 3588 {T-NSN} αἷμα 129 {N-NSN} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} τοῦ 3588 {T-GSM} υἱοῦ 5207 {N-GSM} αὐτοῦ 846 {P-GSM} καθαρίζει 2511 {V-PAI-3S} ἡμᾶς 1473 {P-1AP} ἀπὸ 575 {PREP} πάσης 3956 {A-GSF} ἁμαρτίας. 266 {N-GSF} "
1,8,"Ἐὰν 1437 {COND} εἴπωμεν 3004 {V-2AAS-1P} ὅτι 3754 {CONJ} ἁμαρτίαν 266 {N-ASF} οὐκ 3756 {PRT-N} ἔχομεν, 2192 {V-PAI-1P} ἑαυτοὺς 1438 {F-1APM} πλανῶμεν, 4105 {V-PAI-1P} καὶ 2532 {CONJ} ἡ 3588 {T-NSF} ἀλήθεια 225 {N-NSF} οὐκ 3756 {PRT-N} ἔστιν 1510 {V-PAI-3S} ἐν 1722 {PREP} ἡμῖν. 1473 {P-1DP} "
1,9,"Ἐὰν 1437 {COND} ὁμολογῶμεν 3670 {V-PAS-1P} τὰς 3588 {T-APF} ἁμαρτίας 266 {N-APF} ἡμῶν, 1473 {P-1GP} πιστός 4103 {A-NSM} ἐστιν 1510 {V-PAI-3S} καὶ 2532 {CONJ} δίκαιος 1342 {A-NSM} ἵνα 2443 {CONJ} ἀφῇ 863 {V-2AAS-3S} ἡμῖν 1473 {P-1DP} τὰς 3588 {T-APF} ἁμαρτίας, 266 {N-APF} καὶ 2532 {CONJ} καθαρίσῃ 2511 {V-AAS-3S} ἡμᾶς 1473 {P-1AP} ἀπὸ 575 {PREP} πάσης 3956 {A-GSF} ἀδικίας. 93 {N-GSF} "
1,10,"Ἐὰν 1437 {COND} εἴπωμεν 3004 {V-2AAS-1P} ὅτι 3754 {CONJ} οὐχ 3756 {PRT-N} ἡμαρτήκαμεν, 264 {V-RAI-1P} ψεύστην 5583 {N-ASM} ποιοῦμεν 4160 {V-PAI-1P} αὐτόν, 846 {P-ASM} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} αὐτοῦ 846 {P-GSM} οὐκ 3756 {PRT-N} ἔστιν 1510 {V-PAI-3S} ἐν 1722 {PREP} ἡμῖν. 1473 {P-1DP} "
