chapter,verse,text
1,1,"Ὁ 3588 {T-NSM} πρεσβύτερος 4245 {A-NSM-C} Γαΐῳ 1050 {N-DSM} τῷ 3588 {T-DSM} ἀγαπητῷ, 27 {A-DSM} ὃν 3739 {R-ASM} ἐγὼ 1473 {P-1NS} ἀγαπῶ 25 {V-PAI-1S} ἐν 1722 {PREP} ἀληθείᾳ. 225 {N-DSF} "
1,2,"Ἀγαπητέ, 27 {A-VSM} περὶ 4012 {PREP} πάντων 3956 {A-GPN} εὔχομαί 2172 {V-PNI-1S} σε 4771 {P-2AS} εὐοδοῦσθαι 2137 {V-PPN} καὶ 2532 {CONJ} ὑγιαίνειν, 5198 {V-PAN} καθὼς 2531 {ADV} εὐοδοῦταί 2137 {V-PPI-3S} σου 4771 {P-2GS} ἡ 3588 {T-NSF} ψυχή. 5590 {N-NSF} "
1,3,"Ἐχάρην 5463 {V-2AOI-1S} γὰρ 1063 {CONJ} λίαν, 3029 {ADV} ἐρχομένων 2064 {V-PNP-GPM} ἀδελφῶν 80 {N-GPM} καὶ 2532 {CONJ} μαρτυρούντων 3140 {V-PAP-GPM} σου 4771 {P-2GS} τῇ 3588 {T-DSF} ἀληθείᾳ, 225 {N-DSF} καθὼς 2531 {ADV} σὺ 4771 {P-2NS} ἐν 1722 {PREP} ἀληθείᾳ 225 {N-DSF} περιπατεῖς. 4043 {V-PAI-2S} " 
1,4,"Μειζοτέραν 3173 {A-ASF-C} τούτων 3778 {D-GPN} οὐκ 3756 {PRT-N} ἔχω 2192 {V-PAI-1S} χαράν, 5479 {N-ASF} ἵνα 2443 {CONJ} ἀκούω 191 {V-PAS-1S} τὰ 3588 {T-APN} ἐμὰ 1699 {S-1SAPN} τέκνα 5043 {N-APN} ἐν 1722 {PREP} ἀληθείᾳ 225 {N-DSF} περιπατοῦντα. 4043 {V-PAP-APN} "
1,5,"Ἀγαπητέ, 27 {A-VSM} πιστὸν 4103 {A-ASN} ποιεῖς 4160 {V-PAI-2S} ὃ 3739 {R-ASN} ἐὰν 1437 {COND} ἐργάσῃ 2038 {V-ADS-2S} εἰς 1519 {PREP} τοὺς 3588 {T-APM} ἀδελφοὺς 80 {N-APM} καὶ 2532 {CONJ} εἰς 1519 {PREP} τοὺς 3588 {T-APM} ξένους, 3581 {A-APM} "
1,6,οἳ 3739 {R-NPM} ἐμαρτύρησάν 3140 {V-AAI-3P} σου 4771 {P-2GS} τῇ 3588 {T-DSF} ἀγάπῃ 26 {N-DSF} ἐνώπιον 1799 {PREP} ἐκκλησίας· 1577 {N-GSF} οὓς 3739 {R-APM} καλῶς 2573 {ADV} ποιήσεις 4160 {V-FAI-2S} προπέμψας 4311 {V-AAP-NSM} ἀξίως 516 {ADV} τοῦ 3588 {T-GSM} θεοῦ. 2316 {N-GSM} 
1,7,Ὑπὲρ 5228 {PREP} γὰρ 1063 {CONJ} τοῦ 3588 {T-GSN} ὀνόματος 3686 {N-GSN} ἐξῆλθον 1831 {V-2AAI-3P} μηδὲν 3367 {A-ASN-N} λαμβάνοντες 2983 {V-PAP-NPM} ἀπὸ 575 {PREP} τῶν 3588 {T-GPN} ἐθνῶν. 1484 {N-GPN} 
1,8,"Ἡμεῖς 1473 {P-1NP} οὖν 3767 {CONJ} ὀφείλομεν 3784 {V-PAI-1P} ἀπολαμβάνειν 618 {V-PAN} τοὺς 3588 {T-APM} τοιούτους, 5108 {D-APM} ἵνα 2443 {CONJ} συνεργοὶ 4904 {A-NPM} γινώμεθα 1096 {V-PNS-1P} τῇ 3588 {T-DSF} ἀληθείᾳ. 225 {N-DSF} "
1,9,"Ἔγραψα 1125 {V-AAI-1S} τῇ 3588 {T-DSF} ἐκκλησίᾳ· 1577 {N-DSF} ἀλλ’ 235 {CONJ} ὁ 3588 {T-NSM} φιλοπρωτεύων 5383 {V-PAP-NSM} αὐτῶν 846 {P-GPF} Διοτρεφὴς 1361 {N-NSM} οὐκ 3756 {PRT-N} ἐπιδέχεται 1926 {V-PNI-3S} ἡμᾶς. 1473 {P-1AP} "
1,10,"Διὰ 1223 {PREP} τοῦτο, 3778 {D-ASN} ἐὰν 1437 {COND} ἔλθω, 2064 {V-2AAS-1S} ὑπομνήσω 5279 {V-FAI-1S} αὐτοῦ 846 {P-GSM} τὰ 3588 {T-APN} ἔργα 2041 {N-APN} ἃ 3739 {R-APN} ποιεῖ, 4160 {V-PAI-3S} λόγοις 3056 {N-DPM} πονηροῖς 4190 {A-DPM} φλυαρῶν 5396 {V-PAP-NSM} ἡμᾶς· 1473 {P-1AP} καὶ 2532 {CONJ} μὴ 3361 {PRT-N} ἀρκούμενος 714 {V-PPP-NSM} ἐπὶ 1909 {PREP} τούτοις, 3778 {D-DPN} οὔτε 3777 {CONJ-N} αὐτὸς 846 {P-NSM} ἐπιδέχεται 1926 {V-PNI-3S} τοὺς 3588 {T-APM} ἀδελφούς, 80 {N-APM} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} βουλομένους 1014 {V-PNP-APM} κωλύει, 2967 {V-PAI-3S} καὶ 2532 {CONJ} ἐκ 1537 {PREP} τῆς 3588 {T-GSF} ἐκκλησίας 1577 {N-GSF} ἐκβάλλει. 1544 {V-PAI-3S} "
1,11,"Ἀγαπητέ, 27 {A-VSM} μὴ 3361 {PRT-N} μιμοῦ 3401 {V-PNM-2S} τὸ 3588 {T-ASN} κακόν, 2556 {A-ASN} ἀλλὰ 235 {CONJ} τὸ 3588 {T-ASN} ἀγαθόν. 18 {A-ASN} Ὁ 3588 {T-NSM} ἀγαθοποιῶν 15 {V-PAP-NSM} ἐκ 1537 {PREP} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} ἐστίν· 1510 {V-PAI-3S} ὁ 3588 {T-NSM} κακοποιῶν 2554 {V-PAP-NSM} οὐχ 3756 {PRT-N} ἑώρακεν 3708 {V-RAI-3S-ATT} τὸν 3588 {T-ASM} θεόν. 2316 {N-ASM} "
1,12,"Δημητρίῳ 1216 {N-DSM} μεμαρτύρηται 3140 {V-RPI-3S} ὑπὸ 5259 {PREP} πάντων, 3956 {A-GPM} καὶ 2532 {CONJ} ὑπ’ 5259 {PREP} αὐτῆς 846 {P-GSF} τῆς 3588 {T-GSF} ἀληθείας· 225 {N-GSF} καὶ 2532 {CONJ} ἡμεῖς 1473 {P-1NP} δὲ 1161 {CONJ} μαρτυροῦμεν, 3140 {V-PAI-1P} καὶ 2532 {CONJ} οἴδατε 1492 {V-RAI-2P} ὅτι 3754 {CONJ} ἡ 3588 {T-NSF} μαρτυρία 3141 {N-NSF} ἡμῶν 1473 {P-1GP} ἀληθής 227 {A-NSF} ἐστιν. 1510 {V-PAI-3S} "
1,13,"Πολλὰ 4183 {A-APN} εἶχον 2192 {V-IAI-1S} γράφειν, 1125 {V-PAN} ἀλλ’ 235 {CONJ} οὐ 3756 {PRT-N} θέλω 2309 {V-PAI-1S} διὰ 1223 {PREP} μέλανος 3188 {A-GSN} καὶ 2532 {CONJ} καλάμου 2563 {N-GSM} σοι 4771 {P-2DS} γράψαι· 1125 {V-AAN} "
1,14,"ἐλπίζω 1679 {V-PAI-1S} δὲ 1161 {CONJ} εὐθέως 2112 {ADV} ἰδεῖν 3708 {V-2AAN} σε, 4771 {P-2AS} καὶ 2532 {CONJ} στόμα 4750 {N-ASN} πρὸς 4314 {PREP} στόμα 4750 {N-ASN} λαλήσομεν. 2980 {V-FAI-1P} Εἰρήνη 1515 {N-NSF} σοι. 4771 {P-2DS} Ἀσπάζονταί 782 {V-PNI-3P} σε 4771 {P-2AS} οἱ 3588 {T-NPM} φίλοι. 5384 {A-NPM} Ἀσπάζου 782 {V-PNM-2S} τοὺς 3588 {T-APM} φίλους 5384 {A-APM} κατ’ 2596 {PREP} ὄνομα. 3686 {N-ASN} "
