chapter,verse,text
1,1,"Ἰούδας 2455 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} δοῦλος, 1401 {N-NSM} ἀδελφὸς 80 {N-NSM} δὲ 1161 {CONJ} Ἰακώβου, 2385 {N-GSM} τοῖς 3588 {T-DPM} ἐν 1722 {PREP} θεῷ 2316 {N-DSM} πατρὶ 3962 {N-DSM} ἡγιασμένοις, 37 {V-RPP-DPM} καὶ 2532 {CONJ} Ἰησοῦ 2424 {N-DSM} χριστῷ 5547 {N-DSM} τετηρημένοις, 5083 {V-RPP-DPM} κλητοῖς· 2822 {A-DPM} "
1,2,ἔλεος 1656 {N-NSN} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} καὶ 2532 {CONJ} ἀγάπη 26 {N-NSF} πληθυνθείη. 4129 {V-APO-3S}
1,3,"Ἀγαπητοί, 27 {A-VPM} πᾶσαν 3956 {A-ASF} σπουδὴν 4710 {N-ASF} ποιούμενος 4160 {V-PMP-NSM} γράφειν 1125 {V-PAN} ὑμῖν 4771 {P-2DP} περὶ 4012 {PREP} τῆς 3588 {T-GSF} κοινῆς 2839 {A-GSF} σωτηρίας, 4991 {N-GSF} ἀνάγκην 318 {N-ASF} ἔσχον 2192 {V-2AAI-1S} γράψαι 1125 {V-AAN} ὑμῖν, 4771 {P-2DP} παρακαλῶν 3870 {V-PAP-NSM} ἐπαγωνίζεσθαι 1864 {V-PNN} τῇ 3588 {T-DSF} ἅπαξ 530 {ADV} παραδοθείσῃ 3860 {V-APP-DSF} τοῖς 3588 {T-DPM} ἁγίοις 40 {A-DPM} πίστει. 4102 {N-DSF} "
1,4,"Παρεισέδυσαν 3921 {V-AAI-3P} γάρ 1063 {CONJ} τινες 5100 {X-NPM} ἄνθρωποι, 444 {N-NPM} οἱ 3588 {T-NPM} πάλαι 3819 {ADV} προγεγραμμένοι 4270 {V-RPP-NPM} εἰς 1519 {PREP} τοῦτο 3778 {D-ASN} τὸ 3588 {T-ASN} κρίμα, 2917 {N-ASN} ἀσεβεῖς, 765 {A-NPM} τὴν 3588 {T-ASF} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} ἡμῶν 1473 {P-1GP} χάριν 5485 {N-ASF} μετατιθέντες 3346 {V-PAP-NPM} εἰς 1519 {PREP} ἀσέλγειαν, 766 {N-ASF} καὶ 2532 {CONJ} τὸν 3588 {T-ASM} μόνον 3441 {A-ASM} δεσπότην 1203 {N-ASM} θεὸν 2316 {N-ASM} καὶ 2532 {CONJ} κύριον 2962 {N-ASM} ἡμῶν 1473 {P-1GP} Ἰησοῦν 2424 {N-ASM} χριστὸν 5547 {N-ASM} ἀρνούμενοι. 720 {V-PNP-NPM} "
1,5,"Ὑπομνῆσαι 5279 {V-AAN} δὲ 1161 {CONJ} ὑμᾶς 4771 {P-2AP} βούλομαι, 1014 {V-PNI-1S} εἰδότας 1492 {V-RAP-APM} ὑμᾶς 4771 {P-2AP} ἅπαξ 530 {ADV} τοῦτο, 3778 {D-ASN} ὅτι 3754 {CONJ} ὁ 3588 {T-NSM} κύριος, 2962 {N-NSM} λαὸν 2992 {N-ASM} ἐκ 1537 {PREP} γῆς 1093 {N-GSF} Αἰγύπτου 125 {N-GSF} σώσας, 4982 {V-AAP-NSM} τὸ 3588 {T-ASN} δεύτερον 1208 {A-ASN} τοὺς 3588 {T-APM} μὴ 3361 {PRT-N} πιστεύσαντας 4100 {V-AAP-APM} ἀπώλεσεν. 622 {V-AAI-3S} "
1,6,"Ἀγγέλους 32 {N-APM} τε 5037 {PRT} τοὺς 3588 {T-APM} μὴ 3361 {PRT-N} τηρήσαντας 5083 {V-AAP-APM} τὴν 3588 {T-ASF} ἑαυτῶν 1438 {F-3GPM} ἀρχήν, 746 {N-ASF} ἀλλὰ 235 {CONJ} ἀπολιπόντας 620 {V-2AAP-APM} τὸ 3588 {T-ASN} ἴδιον 2398 {A-ASN} οἰκητήριον, 3613 {N-ASN} εἰς 1519 {PREP} κρίσιν 2920 {N-ASF} μεγάλης 3173 {A-GSF} ἡμέρας 2250 {N-GSF} δεσμοῖς 1199 {N-DPM} ἀϊδίοις 126 {A-DPM} ὑπὸ 5259 {PREP} ζόφον 2217 {N-ASM} τετήρηκεν. 5083 {V-RAI-3S} "
1,7,"Ὡς 5613 {ADV} Σόδομα 4670 {N-NSF} καὶ 2532 {CONJ} Γόμορρα, 1116 {N-NSF} καὶ 2532 {CONJ} αἱ 3588 {T-NPF} περὶ 4012 {PREP} αὐτὰς 846 {P-APF} πόλεις, 4172 {N-NPF} τὸν 3588 {T-ASM} ὅμοιον 3664 {A-ASM} τούτοις 3778 {D-DPM} τρόπον 5158 {N-ASM} ἐκπορνεύσασαι, 1608 {V-AAP-NPF} καὶ 2532 {CONJ} ἀπελθοῦσαι 565 {V-2AAP-NPF} ὀπίσω 3694 {ADV} σαρκὸς 4561 {N-GSF} ἑτέρας, 2087 {A-GSF} πρόκεινται 4295 {V-PNI-3P} δεῖγμα, 1164 {N-ASN} πυρὸς 4442 {N-GSN} αἰωνίου 166 {A-GSN} δίκην 1349 {N-ASF} ὑπέχουσαι. 5254 {V-PAP-NPF} "
1,8,"Ὁμοίως 3668 {ADV} μέντοι 3305 {CONJ} καὶ 2532 {CONJ} οὗτοι 3778 {D-NPM} ἐνυπνιαζόμενοι 1797 {V-PNP-NPM} σάρκα 4561 {N-ASF} μὲν 3303 {PRT} μιαίνουσιν, 3392 {V-PAI-3P} κυριότητα 2963 {N-ASF} δὲ 1161 {CONJ} ἀθετοῦσιν, 114 {V-PAI-3P} δόξας 1391 {N-APF} δὲ 1161 {CONJ} βλασφημοῦσιν. 987 {V-PAI-3P} "
1,9,"Ὁ 3588 {T-NSM} δὲ 1161 {CONJ} Μιχαὴλ 3413 {N-PRI} ὁ 3588 {T-NSM} ἀρχάγγελος, 743 {N-NSM} ὅτε 3753 {ADV} τῷ 3588 {T-DSM} διαβόλῳ 1228 {A-DSM} διακρινόμενος 1252 {V-PMP-NSM} διελέγετο 1256 {V-INI-3S} περὶ 4012 {PREP} τοῦ 3588 {T-GSN} Μωϋσέως 3475 {N-GSM} σώματος, 4983 {N-GSN} οὐκ 3756 {PRT-N} ἐτόλμησεν 5111 {V-AAI-3S} κρίσιν 2920 {N-ASF} ἐπενεγκεῖν 2018 {V-2AAN} βλασφημίας, 988 {N-GSF} ἀλλ’ 235 {CONJ} εἶπεν, 3004 {V-2AAI-3S} Ἐπιτιμήσαι 2008 {V-AAO-3S} σοι 4771 {P-2DS} κύριος. 2962 {N-NSM} "
1,10,"Οὗτοι 3778 {D-NPM} δὲ 1161 {CONJ} ὅσα 3745 {K-APN} μὲν 3303 {PRT} οὐκ 3756 {PRT-N} οἴδασιν 1492 {V-RAI-3P} βλασφημοῦσιν· 987 {V-PAI-3P} ὅσα 3745 {K-APN} δὲ 1161 {CONJ} φυσικῶς, 5447 {ADV} ὡς 5613 {ADV} τὰ 3588 {T-NPN} ἄλογα 249 {A-NPN} ζῷα, 2226 {N-NPN} ἐπίστανται, 1987 {V-PNI-3P} ἐν 1722 {PREP} τούτοις 3778 {D-DPN} φθείρονται. 5351 {V-PPI-3P} "
