chapter,verse,text
1,1,"Παῦλος 3972 {N-NSM} κλητὸς 2822 {A-NSM} ἀπόστολος 652 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} διὰ 1223 {PREP} θελήματος 2307 {N-GSN} θεοῦ, 2316 {N-GSM} καὶ 2532 {CONJ} Σωσθένης 4988 {N-NSM} ὁ 3588 {T-NSM} ἀδελφός, 80 {N-NSM} "
1,2,"τῇ 3588 {T-DSF} ἐκκλησίᾳ 1577 {N-DSF} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} τῇ 3588 {T-DSF} οὔσῃ 1510 {V-PAP-DSF} ἐν 1722 {PREP} Κορίνθῳ, 2882 {N-DSF} ἡγιασμένοις 37 {V-RPP-DPM} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ, 2424 {N-DSM} κλητοῖς 2822 {A-DPM} ἁγίοις, 40 {A-DPM} σὺν 4862 {PREP} πᾶσιν 3956 {A-DPM} τοῖς 3588 {T-DPM} ἐπικαλουμένοις 1941 {V-PMP-DPM} τὸ 3588 {T-ASN} ὄνομα 3686 {N-ASN} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} ἐν 1722 {PREP} παντὶ 3956 {A-DSM} τόπῳ, 5117 {N-DSM} αὐτῶν 846 {P-GPM} τε 5037 {PRT} καὶ 2532 {CONJ} ἡμῶν· 1473 {P-1GP} "
1,3,χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} 
1,4,"Εὐχαριστῶ 2168 {V-PAI-1S} τῷ 3588 {T-DSM} θεῷ 2316 {N-DSM} μου 1473 {P-1GS} πάντοτε 3842 {ADV} περὶ 4012 {PREP} ὑμῶν, 4771 {P-2GP} ἐπὶ 1909 {PREP} τῇ 3588 {T-DSF} χάριτι 5485 {N-DSF} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} τῇ 3588 {T-DSF} δοθείσῃ 1325 {V-APP-DSF} ὑμῖν 4771 {P-2DP} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ· 2424 {N-DSM} "
1,5,"ὅτι 3754 {CONJ} ἐν 1722 {PREP} παντὶ 3956 {A-DSN} ἐπλουτίσθητε 4148 {V-API-2P} ἐν 1722 {PREP} αὐτῷ, 846 {P-DSM} ἐν 1722 {PREP} παντὶ 3956 {A-DSM} λόγῳ 3056 {N-DSM} καὶ 2532 {CONJ} πάσῃ 3956 {A-DSF} γνώσει, 1108 {N-DSF} "
1,6,καθὼς 2531 {ADV} τὸ 3588 {T-NSN} μαρτύριον 3142 {N-NSN} τοῦ 3588 {T-GSM} χριστοῦ 5547 {N-GSM} ἐβεβαιώθη 950 {V-API-3S} ἐν 1722 {PREP} ὑμῖν· 4771 {P-2DP} 
1,7,"ὥστε 5620 {CONJ} ὑμᾶς 4771 {P-2AP} μὴ 3361 {PRT-N} ὑστερεῖσθαι 5302 {V-PPN} ἐν 1722 {PREP} μηδενὶ 3367 {A-DSN-N} χαρίσματι, 5486 {N-DSN} ἀπεκδεχομένους 553 {V-PNP-APM} τὴν 3588 {T-ASF} ἀποκάλυψιν 602 {N-ASF} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} "
1,8,"ὃς 3739 {R-NSM} καὶ 2532 {CONJ} βεβαιώσει 950 {V-FAI-3S} ὑμᾶς 4771 {P-2AP} ἕως 2193 {ADV} τέλους, 5056 {N-GSN} ἀνεγκλήτους 410 {A-APM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἡμέρᾳ 2250 {N-DSF} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} "
1,9,"Πιστὸς 4103 {A-NSM} ὁ 3588 {T-NSM} θεός, 2316 {N-NSM} δι’ 1223 {PREP} οὗ 3739 {R-GSM} ἐκλήθητε 2564 {V-API-2P} εἰς 1519 {PREP} κοινωνίαν 2842 {N-ASF} τοῦ 3588 {T-GSM} υἱοῦ 5207 {N-GSM} αὐτοῦ 846 {P-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν. 1473 {P-1GP} "
1,10,"Παρακαλῶ 3870 {V-PAI-1S} δὲ 1161 {CONJ} ὑμᾶς, 4771 {P-2AP} ἀδελφοί, 80 {N-VPM} διὰ 1223 {PREP} τοῦ 3588 {T-GSN} ὀνόματος 3686 {N-GSN} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ἵνα 2443 {CONJ} τὸ 3588 {T-ASN} αὐτὸ 846 {P-ASN} λέγητε 3004 {V-PAS-2P} πάντες, 3956 {A-NPM} καὶ 2532 {CONJ} μὴ 3361 {PRT-N} ᾖ 1510 {V-PAS-3S} ἐν 1722 {PREP} ὑμῖν 4771 {P-2DP} σχίσματα, 4978 {N-NPN} ἦτε 1510 {V-PAS-2P} δὲ 1161 {CONJ} κατηρτισμένοι 2675 {V-RPP-NPM} ἐν 1722 {PREP} τῷ 3588 {T-DSM} αὐτῷ 846 {P-DSM} νοῒ 3563 {N-DSM} καὶ 2532 {CONJ} ἐν 1722 {PREP} τῇ 3588 {T-DSF} αὐτῇ 846 {P-DSF} γνώμῃ. 1106 {N-DSF} "
1,11,"Ἐδηλώθη 1213 {V-API-3S} γάρ 1063 {CONJ} μοι 1473 {P-1DS} περὶ 4012 {PREP} ὑμῶν, 4771 {P-2GP} ἀδελφοί 80 {N-VPM} μου, 1473 {P-1GS} ὑπὸ 5259 {PREP} τῶν 3588 {T-GPM} Χλόης, 5514 {N-GSF} ὅτι 3754 {CONJ} ἔριδες 2054 {N-NPF} ἐν 1722 {PREP} ὑμῖν 4771 {P-2DP} εἰσιν. 1510 {V-PAI-3P} "
