chapter,verse,text
1,1,"Παῦλος 3972 {N-NSM} ἀπόστολος 652 {N-NSM} οὐκ 3756 {PRT-N} ἀπ’ 575 {PREP} ἀνθρώπων, 444 {N-GPM} οὐδὲ 3761 {CONJ-N} δι’ 1223 {PREP} ἀνθρώπου, 444 {N-GSM} ἀλλὰ 235 {CONJ} διὰ 1223 {PREP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} καὶ 2532 {CONJ} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} τοῦ 3588 {T-GSM} ἐγείραντος 1453 {V-AAP-GSM} αὐτὸν 846 {P-ASM} ἐκ 1537 {PREP} νεκρῶν, 3498 {A-GPM} "
1,2,"καὶ 2532 {CONJ} οἱ 3588 {T-NPM} σὺν 4862 {PREP} ἐμοὶ 1473 {P-1DS} πάντες 3956 {A-NPM} ἀδελφοί, 80 {N-NPM} ταῖς 3588 {T-DPF} ἐκκλησίαις 1577 {N-DPF} τῆς 3588 {T-GSF} Γαλατίας· 1053 {N-GSF} "
1,3,"χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρός, 3962 {N-GSM} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} "  
1,4,"τοῦ 3588 {T-GSM} δόντος 1325 {V-2AAP-GSM} ἑαυτὸν 1438 {F-3ASM} περὶ 4012 {PREP} τῶν 3588 {T-GPF} ἁμαρτιῶν 266 {N-GPF} ἡμῶν, 1473 {P-1GP} ὅπως 3704 {ADV} ἐξέληται 1807 {V-2AMS-3S} ἡμᾶς 1473 {P-1AP} ἐκ 1537 {PREP} τοῦ 3588 {T-GSM} ἐνεστῶτος 1764 {V-RAP-GSM} αἰῶνος 165 {N-GSM} πονηροῦ, 4190 {A-GSM} κατὰ 2596 {PREP} τὸ 3588 {T-ASN} θέλημα 2307 {N-ASN} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} καὶ 2532 {CONJ} πατρὸς 3962 {N-GSM} ἡμῶν· 1473 {P-1GP} "
1,5,ᾧ 3739 {R-DSM} ἡ 3588 {T-NSF} δόξα 1391 {N-NSF} εἰς 1519 {PREP} τοὺς 3588 {T-APM} αἰῶνας 165 {N-APM} τῶν 3588 {T-GPM} αἰώνων. 165 {N-GPM} Ἀμήν. 281 {HEB} 
1,6,"Θαυμάζω 2296 {V-PAI-1S} ὅτι 3754 {CONJ} οὕτως 3779 {ADV} ταχέως 5030 {ADV} μετατίθεσθε 3346 {V-PEI-2P} ἀπὸ 575 {PREP} τοῦ 3588 {T-GSM} καλέσαντος 2564 {V-AAP-GSM} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} χάριτι 5485 {N-DSF} χριστοῦ 5547 {N-GSM} εἰς 1519 {PREP} ἕτερον 2087 {A-ASN} εὐαγγέλιον· 2098 {N-ASN} "
1,7,"ὃ 3739 {R-NSN} οὐκ 3756 {PRT-N} ἔστιν 1510 {V-PAI-3S} ἄλλο, 243 {A-NSN} εἰ 1487 {COND} μή 3361 {PRT-N} τινές 5100 {X-NPM} εἰσιν 1510 {V-PAI-3P} οἱ 3588 {T-NPM} ταράσσοντες 5015 {V-PAP-NPM} ὑμᾶς 4771 {P-2AP} καὶ 2532 {CONJ} θέλοντες 2309 {V-PAP-NPM} μεταστρέψαι 3344 {V-AAN} τὸ 3588 {T-ASN} εὐαγγέλιον 2098 {N-ASN} τοῦ 3588 {T-GSM} χριστοῦ. 5547 {N-GSM} "
1,8,"Ἀλλὰ 235 {CONJ} καὶ 2532 {CONJ} ἐὰν 1437 {COND} ἡμεῖς 1473 {P-1NP} ἢ 2228 {PRT} ἄγγελος 32 {N-NSM} ἐξ 1537 {PREP} οὐρανοῦ 3772 {N-GSM} εὐαγγελίζηται 2097 {V-PMS-3S} ὑμῖν 4771 {P-2DP} παρ’ 3844 {PREP} ὃ 3739 {R-ASN} εὐηγγελισάμεθα 2097 {V-AMI-1P} ὑμῖν, 4771 {P-2DP} ἀνάθεμα 331 {N-NSN} ἔστω. 1510 {V-PAM-3S} "
1,9,"Ὡς 5613 {ADV} προειρήκαμεν, 4302 {V-RAI-1P} καὶ 2532 {CONJ} ἄρτι 737 {ADV} πάλιν 3825 {ADV} λέγω, 3004 {V-PAI-1S} εἴ 1487 {COND} τις 5100 {X-NSM} ὑμᾶς 4771 {P-2AP} εὐαγγελίζεται 2097 {V-PMI-3S} παρ’ 3844 {PREP} ὃ 3739 {R-ASN} παρελάβετε, 3880 {V-2AAI-2P} ἀνάθεμα 331 {N-NSN} ἔστω. 1510 {V-PAM-3S} "
1,10,"Ἄρτι 737 {ADV} γὰρ 1063 {CONJ} ἀνθρώπους 444 {N-APM} πείθω 3982 {V-PAI-1S} ἢ 2228 {PRT} τὸν 3588 {T-ASM} θεόν, 2316 {N-ASM} Ἢ 2228 {PRT} ζητῶ 2212 {V-PAI-1S} ἀνθρώποις 444 {N-DPM} ἀρέσκειν, 700 {V-PAN} Εἰ 1487 {COND} γὰρ 1063 {CONJ} ἔτι 2089 {ADV} ἀνθρώποις 444 {N-DPM} ἤρεσκον, 700 {V-IAI-1S} χριστοῦ 5547 {N-GSM} δοῦλος 1401 {N-NSM} οὐκ 3756 {PRT-N} ἂν 302 {PRT} ἤμην. 1510 {V-IMI-1S} "
