chapter,verse,text
1,1,"Παῦλος, 3972 {N-NSM} ἀπόστολος 652 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} διὰ 1223 {PREP} θελήματος 2307 {N-GSN} θεοῦ, 2316 {N-GSM} τοῖς 3588 {T-DPM} ἁγίοις 40 {A-DPM} τοῖς 3588 {T-DPM} οὖσιν 1510 {V-PAP-DPM} ἐν 1722 {PREP} Ἐφέσῳ 2181 {N-DSF} καὶ 2532 {CONJ} πιστοῖς 4103 {A-DPM} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ· 2424 {N-DSM} "
1,2,χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} 
1,3,"Εὐλογητὸς 2128 {A-NSM} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} καὶ 2532 {CONJ} πατὴρ 3962 {N-NSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ὁ 3588 {T-NSM} εὐλογήσας 2127 {V-AAP-NSM} ἡμᾶς 1473 {P-1AP} ἐν 1722 {PREP} πάσῃ 3956 {A-DSF} εὐλογίᾳ 2129 {N-DSF} πνευματικῇ 4152 {A-DSF} ἐν 1722 {PREP} τοῖς 3588 {T-DPN} ἐπουρανίοις 2032 {A-DPN} ἐν 1722 {PREP} χριστῷ· 5547 {N-DSM} "
1,4,"καθὼς 2531 {ADV} ἐξελέξατο 1586 {V-AMI-3S} ἡμᾶς 1473 {P-1AP} ἐν 1722 {PREP} αὐτῷ 846 {P-DSM} πρὸ 4253 {PREP} καταβολῆς 2602 {N-GSF} κόσμου, 2889 {N-GSM} εἶναι 1510 {V-PAN} ἡμᾶς 1473 {P-1AP} ἁγίους 40 {A-APM} καὶ 2532 {CONJ} ἀμώμους 299 {A-APM} κατενώπιον 2714 {PREP} αὐτοῦ 846 {P-GSM} ἐν 1722 {PREP} ἀγάπῃ, 26 {N-DSF} "
1,5,"προορίσας 4309 {V-AAP-NSM} ἡμᾶς 1473 {P-1AP} εἰς 1519 {PREP} υἱοθεσίαν 5206 {N-ASF} διὰ 1223 {PREP} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} εἰς 1519 {PREP} αὐτόν, 846 {P-ASM} κατὰ 2596 {PREP} τὴν 3588 {T-ASF} εὐδοκίαν 2107 {N-ASF} τοῦ 3588 {T-GSN} θελήματος 2307 {N-GSN} αὐτοῦ, 846 {P-GSM} "
1,6,"εἰς 1519 {PREP} ἔπαινον 1868 {N-ASM} δόξης 1391 {N-GSF} τῆς 3588 {T-GSF} χάριτος 5485 {N-GSF} αὐτοῦ, 846 {P-GSM} ἐν 1722 {PREP} ᾗ 3739 {R-DSF} ἐχαρίτωσεν 5487 {V-AAI-3S} ἡμᾶς 1473 {P-1AP} ἐν 1722 {PREP} τῷ 3588 {T-DSM} ἠγαπημένῳ· 25 {V-RPP-DSM} "
1,7,"ἐν 1722 {PREP} ᾧ 3739 {R-DSM} ἔχομεν 2192 {V-PAI-1P} τὴν 3588 {T-ASF} ἀπολύτρωσιν 629 {N-ASF} διὰ 1223 {PREP} τοῦ 3588 {T-GSN} αἵματος 129 {N-GSN} αὐτοῦ, 846 {P-GSM} τὴν 3588 {T-ASF} ἄφεσιν 859 {N-ASF} τῶν 3588 {T-GPN} παραπτωμάτων, 3900 {N-GPN} κατὰ 2596 {PREP} τὸν 3588 {T-ASM} πλοῦτον 4149 {N-ASM} τῆς 3588 {T-GSF} χάριτος 5485 {N-GSF} αὐτοῦ, 846 {P-GSM} "
1,8,"ἧς 3739 {R-GSF} ἐπερίσσευσεν 4052 {V-AAI-3S} εἰς 1519 {PREP} ἡμᾶς 1473 {P-1AP} ἐν 1722 {PREP} πάσῃ 3956 {A-DSF} σοφίᾳ 4678 {N-DSF} καὶ 2532 {CONJ} φρονήσει, 5428 {N-DSF} "
1,9,"γνωρίσας 1107 {V-AAP-NSM} ἡμῖν 1473 {P-1DP} τὸ 3588 {T-ASN} μυστήριον 3466 {N-ASN} τοῦ 3588 {T-GSN} θελήματος 2307 {N-GSN} αὐτοῦ, 846 {P-GSM} κατὰ 2596 {PREP} τὴν 3588 {T-ASF} εὐδοκίαν 2107 {N-ASF} αὐτοῦ, 846 {P-GSM} ἣν 3739 {R-ASF} προέθετο 4388 {V-2AMI-3S} ἐν 1722 {PREP} αὐτῷ 846 {P-DSM} "
1,10,"εἰς 1519 {PREP} οἰκονομίαν 3622 {N-ASF} τοῦ 3588 {T-GSN} πληρώματος 4138 {N-GSN} τῶν 3588 {T-GPM} καιρῶν, 2540 {N-GPM} ἀνακεφαλαιώσασθαι 346 {V-ADN} τὰ 3588 {T-APN} πάντα 3956 {A-APN} ἐν 1722 {PREP} τῷ 3588 {T-DSM} χριστῷ, 5547 {N-DSM} τὰ 3588 {T-APN} ἐπὶ 1909 {PREP} τοῖς 3588 {T-DPM} οὐρανοῖς 3772 {N-DPM} καὶ 2532 {CONJ} τὰ 3588 {T-APN} ἐπὶ 1909 {PREP} τῆς 3588 {T-GSF} γῆς· 1093 {N-GSF} "
1,11,"ἐν 1722 {PREP} αὐτῷ, 846 {P-DSM} ἐν 1722 {PREP} ᾧ 3739 {R-DSM} καὶ 2532 {CONJ} ἐκληρώθημεν 2820 {V-API-1P} προορισθέντες 4309 {V-APP-NPM} κατὰ 2596 {PREP} πρόθεσιν 4286 {N-ASF} τοῦ 3588 {T-GSM} τὰ 3588 {T-APN} πάντα 3956 {A-APN} ἐνεργοῦντος 1754 {V-PAP-GSM} κατὰ 2596 {PREP} τὴν 3588 {T-ASF} βουλὴν 1012 {N-ASF} τοῦ 3588 {T-GSN} θελήματος 2307 {N-GSN} αὐτοῦ, 846 {P-GSM} "
1,12,"εἰς 1519 {PREP} τὸ 3588 {T-ASN} εἶναι 1510 {V-PAN} ἡμᾶς 1473 {P-1AP} εἰς 1519 {PREP} ἔπαινον 1868 {N-ASM} δόξης 1391 {N-GSF} αὐτοῦ, 846 {P-GSM} τοὺς 3588 {T-APM} προηλπικότας 4276 {V-RAP-APM} ἐν 1722 {PREP} τῷ 3588 {T-DSM} χριστῷ· 5547 {N-DSM} "
