chapter,verse,text
1,1,"Παῦλος 3972 {N-NSM} καὶ 2532 {CONJ} Τιμόθεος, 5095 {N-NSM} δοῦλοι 1401 {N-NPM} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} πᾶσιν 3956 {A-DPM} τοῖς 3588 {T-DPM} ἁγίοις 40 {A-DPM} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ 2424 {N-DSM} τοῖς 3588 {T-DPM} οὖσιν 1510 {V-PAP-DPM} ἐν 1722 {PREP} Φιλίπποις, 5375 {N-DPM} σὺν 4862 {PREP} ἐπισκόποις 1985 {N-DPM} καὶ 2532 {CONJ} διακόνοις· 1249 {N-DPM} "
1,2,χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} 
1,3,"Εὐχαριστῶ 2168 {V-PAI-1S} τῷ 3588 {T-DSM} θεῷ 2316 {N-DSM} μου 1473 {P-1GS} ἐπὶ 1909 {PREP} πάσῃ 3956 {A-DSF} τῇ 3588 {T-DSF} μνείᾳ 3417 {N-DSF} ὑμῶν, 4771 {P-2GP} "
1,4,"πάντοτε 3842 {ADV} ἐν 1722 {PREP} πάσῃ 3956 {A-DSF} δεήσει 1162 {N-DSF} μου 1473 {P-1GS} ὑπὲρ 5228 {PREP} πάντων 3956 {A-GPM} ὑμῶν 4771 {P-2GP} μετὰ 3326 {PREP} χαρᾶς 5479 {N-GSF} τὴν 3588 {T-ASF} δέησιν 1162 {N-ASF} ποιούμενος, 4160 {V-PMP-NSM} "
1,5,"ἐπὶ 1909 {PREP} τῇ 3588 {T-DSF} κοινωνίᾳ 2842 {N-DSF} ὑμῶν 4771 {P-2GP} εἰς 1519 {PREP} τὸ 3588 {T-ASN} εὐαγγέλιον, 2098 {N-ASN} ἀπὸ 575 {PREP} πρώτης 4413 {A-GSF-S} ἡμέρας 2250 {N-GSF} ἄχρι 891 {ADV} τοῦ 3588 {T-GSM} νῦν· 3568 {ADV} "
1,6,"πεποιθὼς 3982 {V-2RAP-NSM} αὐτὸ 846 {P-ASN} τοῦτο, 3778 {D-ASN} ὅτι 3754 {CONJ} ὁ 3588 {T-NSM} ἐναρξάμενος 1728 {V-ADP-NSM} ἐν 1722 {PREP} ὑμῖν 4771 {P-2DP} ἔργον 2041 {N-ASN} ἀγαθὸν 18 {A-ASN} ἐπιτελέσει 2005 {V-FAI-3S} ἄχρι 891 {ADV} ἡμέρας 2250 {N-GSF} χριστοῦ 5547 {N-GSM} Ἰησοῦ· 2424 {N-GSM} "
1,7,"καθώς 2531 {ADV} ἐστιν 1510 {V-PAI-3S} δίκαιον 1342 {A-NSN} ἐμοὶ 1473 {P-1DS} τοῦτο 3778 {D-ASN} φρονεῖν 5426 {V-PAN} ὑπὲρ 5228 {PREP} πάντων 3956 {A-GPM} ὑμῶν, 4771 {P-2GP} διὰ 1223 {PREP} τὸ 3588 {T-ASN} ἔχειν 2192 {V-PAN} με 1473 {P-1AS} ἐν 1722 {PREP} τῇ 3588 {T-DSF} καρδίᾳ 2588 {N-DSF} ὑμᾶς, 4771 {P-2AP} ἔν 1722 {PREP} τε 5037 {PRT} τοῖς 3588 {T-DPM} δεσμοῖς 1199 {N-DPM} μου 1473 {P-1GS} καὶ 2532 {CONJ} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἀπολογίᾳ 627 {N-DSF} καὶ 2532 {CONJ} βεβαιώσει 951 {N-DSF} τοῦ 3588 {T-GSN} εὐαγγελίου, 2098 {N-GSN} συγκοινωνούς 4791 {N-APM} μου 1473 {P-1GS} τῆς 3588 {T-GSF} χάριτος 5485 {N-GSF} πάντας 3956 {A-APM} ὑμᾶς 4771 {P-2AP} ὄντας. 1510 {V-PAP-APM} "
1,8,"Μάρτυς 3144 {N-NSM} γάρ 1063 {CONJ} μού 1473 {P-1GS} ἐστιν 1510 {V-PAI-3S} ὁ 3588 {T-NSM} θεός, 2316 {N-NSM} ὡς 5613 {ADV} ἐπιποθῶ 1971 {V-PAI-1S} πάντας 3956 {A-APM} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} σπλάγχνοις 4698 {N-DPN} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} "
1,9,"Καὶ 2532 {CONJ} τοῦτο 3778 {D-ASN} προσεύχομαι, 4336 {V-PNI-1S} ἵνα 2443 {CONJ} ἡ 3588 {T-NSF} ἀγάπη 26 {N-NSF} ὑμῶν 4771 {P-2GP} ἔτι 2089 {ADV} μᾶλλον 3123 {ADV} καὶ 2532 {CONJ} μᾶλλον 3123 {ADV} περισσεύῃ 4052 {V-PAS-3S} ἐν 1722 {PREP} ἐπιγνώσει 1922 {N-DSF} καὶ 2532 {CONJ} πάσῃ 3956 {A-DSF} αἰσθήσει, 144 {N-DSF} "
1,10,"εἰς 1519 {PREP} τὸ 3588 {T-ASN} δοκιμάζειν 1381 {V-PAN} ὑμᾶς 4771 {P-2AP} τὰ 3588 {T-APN} διαφέροντα, 1308 {V-PAP-APN} ἵνα 2443 {CONJ} ἦτε 1510 {V-PAS-2P} εἰλικρινεῖς 1506 {A-NPM} καὶ 2532 {CONJ} ἀπρόσκοποι 677 {A-NPM} εἰς 1519 {PREP} ἡμέραν 2250 {N-ASF} χριστοῦ, 5547 {N-GSM} "
1,11,"πεπληρωμένοι 4137 {V-RPP-NPM} καρπῶν 2590 {N-GPM} δικαιοσύνης 1343 {N-GSF} τῶν 3588 {T-GPM} διὰ 1223 {PREP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} εἰς 1519 {PREP} δόξαν 1391 {N-ASF} καὶ 2532 {CONJ} ἔπαινον 1868 {N-ASM} θεοῦ. 2316 {N-GSM} "
1,12,"Γινώσκειν 1097 {V-PAN} δὲ 1161 {CONJ} ὑμᾶς 4771 {P-2AP} βούλομαι, 1014 {V-PNI-1S} ἀδελφοί, 80 {N-VPM} ὅτι 3754 {CONJ} τὰ 3588 {T-NPN} κατ’ 2596 {PREP} ἐμὲ 1473 {P-1AS} μᾶλλον 3123 {ADV} εἰς 1519 {PREP} προκοπὴν 4297 {N-ASF} τοῦ 3588 {T-GSN} εὐαγγελίου 2098 {N-GSN} ἐλήλυθεν· 2064 {V-2RAI-3S} "
