chapter,verse,texte
1,1,"Παῦλος 3972 {N-NSM} καὶ 2532 {CONJ} Σιλουανὸς 4610 {N-NSM} καὶ 2532 {CONJ} Τιμόθεος, 5095 {N-NSM} τῇ 3588 {T-DSF} ἐκκλησίᾳ 1577 {N-DSF} Θεσσαλονικέων 2331 {N-GPM} ἐν 1722 {PREP} θεῷ 2316 {N-DSM} πατρί, 3962 {N-DSM} καὶ 2532 {CONJ} κυρίῳ 2962 {N-DSM} Ἰησοῦ 2424 {N-DSM} χριστῷ· 5547 {N-DSM} χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} "
1,2,"Εὐχαριστοῦμεν 2168 {V-PAI-1P} τῷ 3588 {T-DSM} θεῷ 2316 {N-DSM} πάντοτε 3842 {ADV} περὶ 4012 {PREP} πάντων 3956 {A-GPM} ὑμῶν, 4771 {P-2GP} μνείαν 3417 {N-ASF} ὑμῶν 4771 {P-2GP} ποιούμενοι 4160 {V-PMP-NPM} ἐπὶ 1909 {PREP} τῶν 3588 {T-GPF} προσευχῶν 4335 {N-GPF} ἡμῶν, 1473 {P-1GP} "
1,3,"ἀδιαλείπτως 89 {ADV} μνημονεύοντες 3421 {V-PAP-NPM} ὑμῶν 4771 {P-2GP} τοῦ 3588 {T-GSN} ἔργου 2041 {N-GSN} τῆς 3588 {T-GSF} πίστεως, 4102 {N-GSF} καὶ 2532 {CONJ} τοῦ 3588 {T-GSM} κόπου 2873 {N-GSM} τῆς 3588 {T-GSF} ἀγάπης, 26 {N-GSF} καὶ 2532 {CONJ} τῆς 3588 {T-GSF} ὑπομονῆς 5281 {N-GSF} τῆς 3588 {T-GSF} ἐλπίδος 1680 {N-GSF} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ἔμπροσθεν 1715 {PREP} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} καὶ 2532 {CONJ} πατρὸς 3962 {N-GSM} ἡμῶν· 1473 {P-1GP} "
1,4,"εἰδότες, 1492 {V-RAP-NPM} ἀδελφοὶ 80 {N-VPM} ἠγαπημένοι 25 {V-RPP-NPM} ὑπὸ 5259 {PREP} θεοῦ, 2316 {N-GSM} τὴν 3588 {T-ASF} ἐκλογὴν 1589 {N-ASF} ὑμῶν· 4771 {P-2GP} "
1,5,"ὅτι 3754 {CONJ} τὸ 3588 {T-NSN} εὐαγγέλιον 2098 {N-NSN} ἡμῶν 1473 {P-1GP} οὐκ 3756 {PRT-N} ἐγενήθη 1096 {V-AOI-3S} εἰς 1519 {PREP} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} λόγῳ 3056 {N-DSM} μόνον, 3440 {ADV} ἀλλὰ 235 {CONJ} καὶ 2532 {CONJ} ἐν 1722 {PREP} δυνάμει, 1411 {N-DSF} καὶ 2532 {CONJ} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἁγίῳ, 40 {A-DSN} καὶ 2532 {CONJ} ἐν 1722 {PREP} πληροφορίᾳ 4136 {N-DSF} πολλῇ, 4183 {A-DSF} καθὼς 2531 {ADV} οἴδατε 1492 {V-RAI-2P} οἷοι 3634 {K-NPM} ἐγενήθημεν 1096 {V-AOI-1P} ἐν 1722 {PREP} ὑμῖν 4771 {P-2DP} δι’ 1223 {PREP} ὑμᾶς. 4771 {P-2AP} "
1,6,"Καὶ 2532 {CONJ} ὑμεῖς 4771 {P-2NP} μιμηταὶ 3402 {N-NPM} ἡμῶν 1473 {P-1GP} ἐγενήθητε 1096 {V-AOI-2P} καὶ 2532 {CONJ} τοῦ 3588 {T-GSM} κυρίου, 2962 {N-GSM} δεξάμενοι 1209 {V-ADP-NPM} τὸν 3588 {T-ASM} λόγον 3056 {N-ASM} ἐν 1722 {PREP} θλίψει 2347 {N-DSF} πολλῇ 4183 {A-DSF} μετὰ 3326 {PREP} χαρᾶς 5479 {N-GSF} πνεύματος 4151 {N-GSN} ἁγίου, 40 {A-GSN} "
1,7,ὥστε 5620 {CONJ} γενέσθαι 1096 {V-2ADN} ὑμᾶς 4771 {P-2AP} τύπους 5179 {N-APM} πᾶσιν 3956 {A-DPM} τοῖς 3588 {T-DPM} πιστεύουσιν 4100 {V-PAP-DPM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} Μακεδονίᾳ 3109 {N-DSF} καὶ 2532 {CONJ} τῇ 3588 {T-DSF} Ἀχαΐᾳ. 882 {N-DSF}
1,8,"Ἀφ’ 575 {PREP} ὑμῶν 4771 {P-2GP} γὰρ 1063 {CONJ} ἐξήχηται 1837 {V-RPI-3S} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} οὐ 3756 {PRT-N} μόνον 3440 {ADV} ἐν 1722 {PREP} τῇ 3588 {T-DSF} Μακεδονίᾳ 3109 {N-DSF} καὶ 2532 {CONJ} ἐν 1722 {PREP} τῇ 3588 {T-DSF} Ἀχαΐᾳ, 882 {N-DSF} ἀλλὰ 235 {CONJ} καὶ 2532 {CONJ} ἐν 1722 {PREP} παντὶ 3956 {A-DSM} τόπῳ 5117 {N-DSM} ἡ 3588 {T-NSF} πίστις 4102 {N-NSF} ὑμῶν 4771 {P-2GP} ἡ 3588 {T-NSF} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} θεὸν 2316 {N-ASM} ἐξελήλυθεν, 1831 {V-2RAI-3S} ὥστε 5620 {CONJ} μὴ 3361 {PRT-N} χρείαν 5532 {N-ASF} ἡμᾶς 1473 {P-1AP} ἔχειν 2192 {V-PAN} λαλεῖν 2980 {V-PAN} τι. 5100 {X-ASN} "
1,9,"Αὐτοὶ 846 {P-NPM} γὰρ 1063 {CONJ} περὶ 4012 {PREP} ἡμῶν 1473 {P-1GP} ἀπαγγέλλουσιν 518 {V-PAI-3P} ὁποίαν 3697 {A-ASF} εἴσοδον 1529 {N-ASF} ἔσχομεν 2192 {V-2AAI-1P} πρὸς 4314 {PREP} ὑμᾶς, 4771 {P-2AP} καὶ 2532 {CONJ} πῶς 4459 {ADV} ἐπεστρέψατε 1994 {V-AAI-2P} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} θεὸν 2316 {N-ASM} ἀπὸ 575 {PREP} τῶν 3588 {T-GPN} εἰδώλων, 1497 {N-GPN} δουλεύειν 1398 {V-PAN} θεῷ 2316 {N-DSM} ζῶντι 2198 {V-PAP-DSM} καὶ 2532 {CONJ} ἀληθινῷ, 228 {A-DSM} "
1,10,"καὶ 2532 {CONJ} ἀναμένειν 362 {V-PAN} τὸν 3588 {T-ASM} υἱὸν 5207 {N-ASM} αὐτοῦ 846 {P-GSM} ἐκ 1537 {PREP} τῶν 3588 {T-GPM} οὐρανῶν, 3772 {N-GPM} ὃν 3739 {R-ASM} ἤγειρεν 1453 {V-AAI-3S} ἐκ 1537 {PREP} τῶν 3588 {T-GPM} νεκρῶν, 3498 {A-GPM} Ἰησοῦν, 2424 {N-ASM} τὸν 3588 {T-ASM} ῥυόμενον 4506 {V-PNP-ASM} ἡμᾶς 1473 {P-1AP} ἀπὸ 575 {PREP} τῆς 3588 {T-GSF} ὀργῆς 3709 {N-GSF} τῆς 3588 {T-GSF} ἐρχομένης. 2064 {V-PNP-GSF} "
