chapter,verse,texte
1,1,"Πολυμερῶς 4181 {ADV} καὶ 2532 {CONJ} πολυτρόπως 4187 {ADV} πάλαι 3819 {ADV} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} λαλήσας 2980 {V-AAP-NSM} τοῖς 3588 {T-DPM} πατράσιν 3962 {N-DPM} ἐν 1722 {PREP} τοῖς 3588 {T-DPM} προφήταις, 4396 {N-DPM} ἐπ’ 1909 {PREP} ἐσχάτου 2078 {A-GSM-S} τῶν 3588 {T-GPF} ἡμερῶν 2250 {N-GPF} τούτων 3778 {D-GPF} ἐλάλησεν 2980 {V-AAI-3S} ἡμῖν 1473 {P-1DP} ἐν 1722 {PREP} υἱῷ, 5207 {N-DSM} "
1,2,"ὃν 3739 {R-ASM} ἔθηκεν 5087 {V-AAI-3S} κληρονόμον 2818 {N-ASM} πάντων, 3956 {A-GPN} δι’ 1223 {PREP} οὗ 3739 {R-GSM} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} αἰῶνας 165 {N-APM} ἐποίησεν, 4160 {V-AAI-3S} "
1,3,"ὃς 3739 {R-NSM} ὢν 1510 {V-PAP-NSM} ἀπαύγασμα 541 {N-NSN} τῆς 3588 {T-GSF} δόξης 1391 {N-GSF} καὶ 2532 {CONJ} χαρακτὴρ 5481 {N-NSM} τῆς 3588 {T-GSF} ὑποστάσεως 5287 {N-GSF} αὐτοῦ, 846 {P-GSM} φέρων 5342 {V-PAP-NSM} τε 5037 {PRT} τὰ 3588 {T-APN} πάντα 3956 {A-APN} τῷ 3588 {T-DSN} ῥήματι 4487 {N-DSN} τῆς 3588 {T-GSF} δυνάμεως 1411 {N-GSF} αὐτοῦ, 846 {P-GSM} δι’ 1223 {PREP} ἑαυτοῦ 1438 {F-3GSM} καθαρισμὸν 2512 {N-ASM} ποιησάμενος 4160 {V-AMP-NSM} τῶν 3588 {T-GPF} ἁμαρτιῶν 266 {N-GPF} ἡμῶν, 1473 {P-1GP} ἐκάθισεν 2523 {V-AAI-3S} ἐν 1722 {PREP} δεξιᾷ 1188 {A-DSF} τῆς 3588 {T-GSF} μεγαλωσύνης 3172 {N-GSF} ἐν 1722 {PREP} ὑψηλοῖς, 5308 {A-DPN} "
1,4,"τοσούτῳ 5118 {D-DSN} κρείττων 2909 {A-NSM-C} γενόμενος 1096 {V-2ADP-NSM} τῶν 3588 {T-GPM} ἀγγέλων, 32 {N-GPM} ὅσῳ 3745 {K-DSN} διαφορώτερον 1313 {A-ASN-C} παρ’ 3844 {PREP} αὐτοὺς 846 {P-APM} κεκληρονόμηκεν 2816 {V-RAI-3S} ὄνομα. 3686 {N-ASN} "
1,5,"Τίνι 5101 {I-DSM} γὰρ 1063 {CONJ} εἶπέν 3004 {V-2AAI-3S} ποτε 4218 {PRT} τῶν 3588 {T-GPM} ἀγγέλων, 32 {N-GPM} Υἱός 5207 {N-NSM} μου 1473 {P-1GS} εἶ 1510 {V-PAI-2S} σύ, 4771 {P-2NS} ἐγὼ 1473 {P-1NS} σήμερον 4594 {ADV} γεγέννηκά 1080 {V-RAI-1S} σε, 4771 {P-2AS} Καὶ 2532 {CONJ} πάλιν, 3825 {ADV} Ἐγὼ 1473 {P-1NS} ἔσομαι 1510 {V-FDI-1S} αὐτῷ 846 {P-DSM} εἰς 1519 {PREP} πατέρα, 3962 {N-ASM} καὶ 2532 {CONJ} αὐτὸς 846 {P-NSM} ἔσται 1510 {V-FDI-3S} μοι 1473 {P-1DS} εἰς 1519 {PREP} υἱόν, 5207 {N-ASM} "
1,6,"Ὅταν 3752 {CONJ} δὲ 1161 {CONJ} πάλιν 3825 {ADV} εἰσαγάγῃ 1521 {V-2AAS-3S} τὸν 3588 {T-ASM} πρωτότοκον 4416 {A-ASM-S} εἰς 1519 {PREP} τὴν 3588 {T-ASF} οἰκουμένην 3625 {N-ASF} λέγει, 3004 {V-PAI-3S} Καὶ 2532 {CONJ} προσκυνησάτωσαν 4352 {V-AAM-3P} αὐτῷ 846 {P-DSM} πάντες 3956 {A-NPM} ἄγγελοι 32 {N-NPM} θεοῦ. 2316 {N-GSM} "
1,7,"Καὶ 2532 {CONJ} πρὸς 4314 {PREP} μὲν 3303 {PRT} τοὺς 3588 {T-APM} ἀγγέλους 32 {N-APM} λέγει, 3004 {V-PAI-3S} Ὁ 3588 {T-NSM} ποιῶν 4160 {V-PAP-NSM} τοὺς 3588 {T-APM} ἀγγέλους 32 {N-APM} αὐτοῦ 846 {P-GSM} πνεύματα, 4151 {N-APN} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} λειτουργοὺς 3011 {N-APM} αὐτοῦ 846 {P-GSM} πυρὸς 4442 {N-GSN} φλόγα· 5395 {N-ASF} "
1,8,"πρὸς 4314 {PREP} δὲ 1161 {CONJ} τὸν 3588 {T-ASM} υἱόν, 5207 {N-ASM} Ὁ 3588 {T-NSM} θρόνος 2362 {N-NSM} σου, 4771 {P-2GS} ὁ 3588 {T-NSM} θεός, 2316 {N-NSM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} αἰῶνα 165 {N-ASM} τοῦ 3588 {T-GSM} αἰῶνος· 165 {N-GSM} ῥάβδος 4464 {N-NSF} εὐθύτητος 2118 {N-GSF} ἡ 3588 {T-NSF} ῥάβδος 4464 {N-NSF} τῆς 3588 {T-GSF} βασιλείας 932 {N-GSF} σου. 4771 {P-2GS} "
1,9,"Ἠγάπησας 25 {V-AAI-2S} δικαιοσύνην, 1343 {N-ASF} καὶ 2532 {CONJ} ἐμίσησας 3404 {V-AAI-2S} ἀνομίαν· 458 {N-ASF} διὰ 1223 {PREP} τοῦτο 3778 {D-ASN} ἔχρισέν 5548 {V-AAI-3S} σε 4771 {P-2AS} ὁ 3588 {T-NSM} θεός, 2316 {N-NSM} ὁ 3588 {T-NSM} θεός 2316 {N-NSM} σου, 4771 {P-2GS} ἔλαιον 1637 {N-ASN} ἀγαλλιάσεως 20 {N-GSF} παρὰ 3844 {PREP} τοὺς 3588 {T-APM} μετόχους 3353 {A-APM} σου. 4771 {P-2GS} "
1,10,"Καί, 2532 {CONJ} Σὺ 4771 {P-2NS} κατ’ 2596 {PREP} ἀρχάς, 746 {N-APF} κύριε, 2962 {N-VSM} τὴν 3588 {T-ASF} γῆν 1093 {N-ASF} ἐθεμελίωσας, 2311 {V-AAI-2S} καὶ 2532 {CONJ} ἔργα 2041 {N-NPN} τῶν 3588 {T-GPF} χειρῶν 5495 {N-GPF} σού 4771 {P-2GS} εἰσιν 1510 {V-PAI-3P} οἱ 3588 {T-NPM} οὐρανοί· 3772 {N-NPM} "
