chapter,verse,texte
1,1,"Παῦλος 3972 {N-NSM} ἀπόστολος 652 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} κατ’ 2596 {PREP} ἐπιταγὴν 2003 {N-ASF} θεοῦ 2316 {N-GSM} σωτῆρος 4990 {N-GSM} ἡμῶν, 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} τῆς 3588 {T-GSF} ἐλπίδος 1680 {N-GSF} ἡμῶν, 1473 {P-1GP} "
1,2,"Τιμοθέῳ 5095 {N-DSM} γνησίῳ 1103 {A-DSN} τέκνῳ 5043 {N-DSN} ἐν 1722 {PREP} πίστει· 4102 {N-DSF} χάρις, 5485 {N-NSF} ἔλεος, 1656 {N-NSN} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} χριστοῦ 5547 {N-GSM} Ἰησοῦ 2424 {N-GSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν. 1473 {P-1GP} "
1,3,"Καθὼς 2531 {ADV} παρεκάλεσά 3870 {V-AAI-1S} σε 4771 {P-2AS} προσμεῖναι 4357 {V-AAN} ἐν 1722 {PREP} Ἐφέσῳ, 2181 {N-DSF} πορευόμενος 4198 {V-PNP-NSM} εἰς 1519 {PREP} Μακεδονίαν, 3109 {N-ASF} ἵνα 2443 {CONJ} παραγγείλῃς 3853 {V-AAS-2S} τισὶν 5100 {X-DPM} μὴ 3361 {PRT-N} ἑτεροδιδασκαλεῖν, 2085 {V-PAN} "
1,4,"μηδὲ 3366 {CONJ-N} προσέχειν 4337 {V-PAN} μύθοις 3454 {N-DPM} καὶ 2532 {CONJ} γενεαλογίαις 1076 {N-DPF} ἀπεράντοις, 562 {A-DPF} αἵτινες 3748 {R-NPF} ζητήσεις 2214 {N-APF} παρέχουσιν 3930 {V-PAI-3P} μᾶλλον 3123 {ADV} ἢ 2228 {PRT} οἰκονομίαν 3622 {N-ASF} θεοῦ 2316 {N-GSM} τὴν 3588 {T-ASF} ἐν 1722 {PREP} πίστει. 4102 {N-DSF} "
1,5,Τὸ 3588 {T-NSN} δὲ 1161 {CONJ} τέλος 5056 {N-NSN} τῆς 3588 {T-GSF} παραγγελίας 3852 {N-GSF} ἐστὶν 1510 {V-PAI-3S} ἀγάπη 26 {N-NSF} ἐκ 1537 {PREP} καθαρᾶς 2513 {A-GSF} καρδίας 2588 {N-GSF} καὶ 2532 {CONJ} συνειδήσεως 4893 {N-GSF} ἀγαθῆς 18 {A-GSF} καὶ 2532 {CONJ} πίστεως 4102 {N-GSF} ἀνυποκρίτου· 505 {A-GSF} 
1,6,"ὧν 3739 {R-GPF} τινὲς 5100 {X-NPM} ἀστοχήσαντες 795 {V-AAP-NPM} ἐξετράπησαν 1624 {V-2API-3P} εἰς 1519 {PREP} ματαιολογίαν, 3150 {N-ASF} "
1,7,"θέλοντες 2309 {V-PAP-NPM} εἶναι 1510 {V-PAN} νομοδιδάσκαλοι, 3547 {N-NPM} μὴ 3361 {PRT-N} νοοῦντες 3539 {V-PAP-NPM} μήτε 3383 {CONJ-N} ἃ 3739 {R-APN} λέγουσιν, 3004 {V-PAI-3P} μήτε 3383 {CONJ-N} περὶ 4012 {PREP} τίνων 5101 {I-GPN} διαβεβαιοῦνται. 1226 {V-PNI-3P} "
1,8,"Οἴδαμεν 1492 {V-RAI-1P} δὲ 1161 {CONJ} ὅτι 3754 {CONJ} καλὸς 2570 {A-NSM} ὁ 3588 {T-NSM} νόμος, 3551 {N-NSM} ἐάν 1437 {COND} τις 5100 {X-NSM} αὐτῷ 846 {P-DSM} νομίμως 3545 {ADV} χρῆται, 5530 {V-PNS-3S} "
1,9,"εἰδὼς 1492 {V-RAP-NSM} τοῦτο, 3778 {D-ASN} ὅτι 3754 {CONJ} δικαίῳ 1342 {A-DSM} νόμος 3551 {N-NSM} οὐ 3756 {PRT-N} κεῖται, 2749 {V-PNI-3S} ἀνόμοις 459 {A-DPM} δὲ 1161 {CONJ} καὶ 2532 {CONJ} ἀνυποτάκτοις, 506 {A-DPM} ἀσεβέσιν 765 {A-DPM} καὶ 2532 {CONJ} ἁμαρτωλοῖς, 268 {A-DPM} ἀνοσίοις 462 {A-DPM} καὶ 2532 {CONJ} βεβήλοις, 952 {A-DPM} πατρολῴαις 3964 {N-DPM} καὶ 2532 {CONJ} μητρολῴαις, 3389 {N-DPM} ἀνδροφόνοις, 409 {N-DPM} "
1,10,"πόρνοις, 4205 {N-DPM} ἀρσενοκοίταις, 733 {N-DPM} ἀνδραποδισταῖς, 405 {N-DPM} ψεύσταις, 5583 {N-DPM} ἐπιόρκοις, 1965 {A-DPM} καὶ 2532 {CONJ} εἴ 1487 {COND} τι 5100 {X-NSN} ἕτερον 2087 {A-NSN} τῇ 3588 {T-DSF} ὑγιαινούσῃ 5198 {V-PAP-DSF} διδασκαλίᾳ 1319 {N-DSF} ἀντίκειται, 480 {V-PNI-3S} "
1,11,"κατὰ 2596 {PREP} τὸ 3588 {T-ASN} εὐαγγέλιον 2098 {N-ASN} τῆς 3588 {T-GSF} δόξης 1391 {N-GSF} τοῦ 3588 {T-GSM} μακαρίου 3107 {A-GSM} θεοῦ, 2316 {N-GSM} ὃ 3739 {R-ASN} ἐπιστεύθην 4100 {V-API-1S} ἐγώ. 1473 {P-1NS} "
1,12,"Καὶ 2532 {CONJ} χάριν 5485 {N-ASF} ἔχω 2192 {V-PAI-1S} τῷ 3588 {T-DSM} ἐνδυναμώσαντί 1743 {V-AAP-DSM} με 1473 {P-1AS} χριστῷ 5547 {N-DSM} Ἰησοῦ 2424 {N-DSM} τῷ 3588 {T-DSM} κυρίῳ 2962 {N-DSM} ἡμῶν, 1473 {P-1GP} ὅτι 3754 {CONJ} πιστόν 4103 {A-ASM} με 1473 {P-1AS} ἡγήσατο, 2233 {V-ADI-3S} θέμενος 5087 {V-2AMP-NSM} εἰς 1519 {PREP} διακονίαν, 1248 {N-ASF} "
1,13,"τὸν 3588 {T-ASM} πρότερον 4386 {A-ASM-C} ὄντα 1510 {V-PAP-ASM} βλάσφημον 989 {A-ASM} καὶ 2532 {CONJ} διώκτην 1376 {N-ASM} καὶ 2532 {CONJ} ὑβριστήν· 5197 {N-ASM} ἀλλὰ 235 {CONJ} ἠλεήθην, 1653 {V-API-1S} ὅτι 3754 {CONJ} ἀγνοῶν 50 {V-PAP-NSM} ἐποίησα 4160 {V-AAI-1S} ἐν 1722 {PREP} ἀπιστίᾳ· 570 {N-DSF} "
1,14,ὑπερεπλεόνασεν 5250 {V-AAI-3S} δὲ 1161 {CONJ} ἡ 3588 {T-NSF} χάρις 5485 {N-NSF} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν 1473 {P-1GP} μετὰ 3326 {PREP} πίστεως 4102 {N-GSF} καὶ 2532 {CONJ} ἀγάπης 26 {N-GSF} τῆς 3588 {T-GSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ. 2424 {N-DSM}
1,15,"Πιστὸς 4103 {A-NSM} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} καὶ 2532 {CONJ} πάσης 3956 {A-GSF} ἀποδοχῆς 594 {N-GSF} ἄξιος, 514 {A-NSM} ὅτι 3754 {CONJ} χριστὸς 5547 {N-NSM} Ἰησοῦς 2424 {N-NSM} ἦλθεν 2064 {V-2AAI-3S} εἰς 1519 {PREP} τὸν 3588 {T-ASM} κόσμον 2889 {N-ASM} ἁμαρτωλοὺς 268 {A-APM} σῶσαι, 4982 {V-AAN} ὧν 3739 {R-GPM} πρῶτός 4413 {A-NSM-S} εἰμι 1510 {V-PAI-1S} ἐγώ· 1473 {P-1NS} "
1,16,"ἀλλὰ 235 {CONJ} διὰ 1223 {PREP} τοῦτο 3778 {D-ASN} ἠλεήθην, 1653 {V-API-1S} ἵνα 2443 {CONJ} ἐν 1722 {PREP} ἐμοὶ 1473 {P-1DS} πρώτῳ 4413 {A-DSM-S} ἐνδείξηται 1731 {V-AMS-3S} Ἰησοῦς 2424 {N-NSM} χριστὸς 5547 {N-NSM} τὴν 3588 {T-ASF} πᾶσαν 3956 {A-ASF} μακροθυμίαν, 3115 {N-ASF} πρὸς 4314 {PREP} ὑποτύπωσιν 5296 {N-ASF} τῶν 3588 {T-GPM} μελλόντων 3195 {V-PAP-GPM} πιστεύειν 4100 {V-PAN} ἐπ’ 1909 {PREP} αὐτῷ 846 {P-DSM} εἰς 1519 {PREP} ζωὴν 2222 {N-ASF} αἰώνιον. 166 {A-ASF} "
