chapter,verse,texte
1,1,"Παῦλος, 3972 {N-NSM} δοῦλος 1401 {N-NSM} θεοῦ, 2316 {N-GSM} ἀπόστολος 652 {N-NSM} δὲ 1161 {CONJ} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} κατὰ 2596 {PREP} πίστιν 4102 {N-ASF} ἐκλεκτῶν 1588 {A-GPM} θεοῦ 2316 {N-GSM} καὶ 2532 {CONJ} ἐπίγνωσιν 1922 {N-ASF} ἀληθείας 225 {N-GSF} τῆς 3588 {T-GSF} κατ’ 2596 {PREP} εὐσέβειαν, 2150 {N-ASF} "
1,2,"ἐπ’ 1909 {PREP} ἐλπίδι 1680 {N-DSF} ζωῆς 2222 {N-GSF} αἰωνίου, 166 {A-GSF} ἣν 3739 {R-ASF} ἐπηγγείλατο 1861 {V-ADI-3S} ὁ 3588 {T-NSM} ἀψευδὴς 893 {A-NSM} θεὸς 2316 {N-NSM} πρὸ 4253 {PREP} χρόνων 5550 {N-GPM} αἰωνίων, 166 {A-GPM} "
1,3,"ἐφανέρωσεν 5319 {V-AAI-3S} δὲ 1161 {CONJ} καιροῖς 2540 {N-DPM} ἰδίοις 2398 {A-DPM} τὸν 3588 {T-ASM} λόγον 3056 {N-ASM} αὐτοῦ 846 {P-GSM} ἐν 1722 {PREP} κηρύγματι 2782 {N-DSN} ὃ 3739 {R-ASN} ἐπιστεύθην 4100 {V-API-1S} ἐγὼ 1473 {P-1NS} κατ’ 2596 {PREP} ἐπιταγὴν 2003 {N-ASF} τοῦ 3588 {T-GSM} σωτῆρος 4990 {N-GSM} ἡμῶν 1473 {P-1GP} θεοῦ, 2316 {N-GSM} "
1,4,"Τίτῳ 5103 {N-DSM} γνησίῳ 1103 {A-DSN} τέκνῳ 5043 {N-DSN} κατὰ 2596 {PREP} κοινὴν 2839 {A-ASF} πίστιν· 4102 {N-ASF} χάρις, 5485 {N-NSF} ἔλεος, 1656 {N-NSN} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρός, 3962 {N-GSM} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} τοῦ 3588 {T-GSM} σωτῆρος 4990 {N-GSM} ἡμῶν. 1473 {P-1GP} "
1,5,"Τούτου 3778 {D-GSN} χάριν 5484 {PREP} κατέλιπόν 2641 {V-2AAI-1S} σε 4771 {P-2AS} ἐν 1722 {PREP} Κρήτῃ, 2914 {N-DSF} ἵνα 2443 {CONJ} τὰ 3588 {T-APN} λείποντα 3007 {V-PAP-APN} ἐπιδιορθώσῃ, 1930 {V-AMS-2S} καὶ 2532 {CONJ} καταστήσῃς 2525 {V-AAS-2S} κατὰ 2596 {PREP} πόλιν 4172 {N-ASF} πρεσβυτέρους, 4245 {A-APM-C} ὡς 5613 {ADV} ἐγώ 1473 {P-1NS} σοι 4771 {P-2DS} διεταξάμην· 1299 {V-AMI-1S} "
1,6,"εἴ 1487 {COND} τίς 5100 {X-NSM} ἐστιν 1510 {V-PAI-3S} ἀνέγκλητος, 410 {A-NSM} μιᾶς 1520 {A-GSF} γυναικὸς 1135 {N-GSF} ἀνήρ, 435 {N-NSM} τέκνα 5043 {N-APN} ἔχων 2192 {V-PAP-NSM} πιστά, 4103 {A-APN} μὴ 3361 {PRT-N} ἐν 1722 {PREP} κατηγορίᾳ 2724 {N-DSF} ἀσωτίας 810 {N-GSF} ἢ 2228 {PRT} ἀνυπότακτα. 506 {A-APN} "
1,7,"Δεῖ 1163 {V-PAI-3S} γὰρ 1063 {CONJ} τὸν 3588 {T-ASM} ἐπίσκοπον 1985 {N-ASM} ἀνέγκλητον 410 {A-ASM} εἶναι, 1510 {V-PAN} ὡς 5613 {ADV} θεοῦ 2316 {N-GSM} οἰκονόμον· 3623 {N-ASM} μὴ 3361 {PRT-N} αὐθάδη, 829 {A-ASM} μὴ 3361 {PRT-N} ὀργίλον, 3711 {A-ASM} μὴ 3361 {PRT-N} πάροινον, 3943 {A-ASM} μὴ 3361 {PRT-N} πλήκτην, 4131 {N-ASM} μὴ 3361 {PRT-N} αἰσχροκερδῆ, 146 {A-ASM} "
1,8,"ἀλλὰ 235 {CONJ} φιλόξενον, 5382 {A-ASM} φιλάγαθον, 5358 {A-ASM} σώφρονα, 4998 {A-ASM} δίκαιον, 1342 {A-ASM} ὅσιον, 3741 {A-ASM} ἐγκρατῆ, 1468 {A-ASM} "
1,9,"ἀντεχόμενον 472 {V-PNP-ASM} τοῦ 3588 {T-GSM} κατὰ 2596 {PREP} τὴν 3588 {T-ASF} διδαχὴν 1322 {N-ASF} πιστοῦ 4103 {A-GSM} λόγου, 3056 {N-GSM} ἵνα 2443 {CONJ} δυνατὸς 1415 {A-NSM} ᾖ 1510 {V-PAS-3S} καὶ 2532 {CONJ} παρακαλεῖν 3870 {V-PAN} ἐν 1722 {PREP} τῇ 3588 {T-DSF} διδασκαλίᾳ 1319 {N-DSF} τῇ 3588 {T-DSF} ὑγιαινούσῃ, 5198 {V-PAP-DSF} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} ἀντιλέγοντας 483 {V-PAP-APM} ἐλέγχειν. 1651 {V-PAN} "
1,10,"Εἰσὶν 1510 {V-PAI-3P} γὰρ 1063 {CONJ} πολλοὶ 4183 {A-NPM} καὶ 2532 {CONJ} ἀνυπότακτοι, 506 {A-NPM} ματαιολόγοι 3151 {A-NPM} καὶ 2532 {CONJ} φρεναπάται, 5423 {N-NPM} μάλιστα 3122 {ADV-S} οἱ 3588 {T-NPM} ἐκ 1537 {PREP} περιτομῆς, 4061 {N-GSF} "
