chapter,verse,texte
1,1,"Παῦλος 3972 {N-NSM} δέσμιος 1198 {N-NSM} χριστοῦ 5547 {N-GSM} Ἰησοῦ, 2424 {N-GSM} καὶ 2532 {CONJ} Τιμόθεος 5095 {N-NSM} ὁ 3588 {T-NSM} ἀδελφός, 80 {N-NSM} Φιλήμονι 5371 {N-DSM} τῷ 3588 {T-DSM} ἀγαπητῷ 27 {A-DSM} καὶ 2532 {CONJ} συνεργῷ 4904 {A-DSM} ἡμῶν, 1473 {P-1GP} "
1,2,"καὶ 2532 {CONJ} Ἀπφίᾳ 682 {N-DSF} τῇ 3588 {T-DSF} ἀγαπητῇ, 27 {A-DSF} καὶ 2532 {CONJ} Ἀρχίππῳ 751 {N-DSM} τῷ 3588 {T-DSM} συστρατιώτῃ 4961 {N-DSM} ἡμῶν, 1473 {P-1GP} καὶ 2532 {CONJ} τῇ 3588 {T-DSF} κατ’ 2596 {PREP} οἶκόν 3624 {N-ASM} σου 4771 {P-2GS} ἐκκλησίᾳ· 1577 {N-DSF} "
1,3,χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} ἡμῶν 1473 {P-1GP} καὶ 2532 {CONJ} κυρίου 2962 {N-GSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM}
1,4,"Εὐχαριστῶ 2168 {V-PAI-1S} τῷ 3588 {T-DSM} θεῷ 2316 {N-DSM} μου, 1473 {P-1GS} πάντοτε 3842 {ADV} μνείαν 3417 {N-ASF} σου 4771 {P-2GS} ποιούμενος 4160 {V-PMP-NSM} ἐπὶ 1909 {PREP} τῶν 3588 {T-GPF} προσευχῶν 4335 {N-GPF} μου, 1473 {P-1GS} "
1,5,"ἀκούων 191 {V-PAP-NSM} σου 4771 {P-2GS} τὴν 3588 {T-ASF} ἀγάπην, 26 {N-ASF} καὶ 2532 {CONJ} τὴν 3588 {T-ASF} πίστιν 4102 {N-ASF} ἣν 3739 {R-ASF} ἔχεις 2192 {V-PAI-2S} πρὸς 4314 {PREP} τὸν 3588 {T-ASM} κύριον 2962 {N-ASM} Ἰησοῦν 2424 {N-ASM} καὶ 2532 {CONJ} εἰς 1519 {PREP} πάντας 3956 {A-APM} τοὺς 3588 {T-APM} ἁγίους, 40 {A-APM} "
1,6,ὅπως 3704 {ADV} ἡ 3588 {T-NSF} κοινωνία 2842 {N-NSF} τῆς 3588 {T-GSF} πίστεώς 4102 {N-GSF} σου 4771 {P-2GS} ἐνεργὴς 1756 {A-NSF} γένηται 1096 {V-2ADS-3S} ἐν 1722 {PREP} ἐπιγνώσει 1922 {N-DSF} παντὸς 3956 {A-GSN} ἀγαθοῦ 18 {A-GSN} τοῦ 3588 {T-GSN} ἐν 1722 {PREP} ἡμῖν 1473 {P-1DP} εἰς 1519 {PREP} χριστὸν 5547 {N-ASM} Ἰησοῦν. 2424 {N-ASM}
1,7,"Χάριν 5485 {N-ASF} γὰρ 1063 {CONJ} ἔχομεν 2192 {V-PAI-1P} πολλὴν 4183 {A-ASF} καὶ 2532 {CONJ} παράκλησιν 3874 {N-ASF} ἐπὶ 1909 {PREP} τῇ 3588 {T-DSF} ἀγάπῃ 26 {N-DSF} σου, 4771 {P-2GS} ὅτι 3754 {CONJ} τὰ 3588 {T-NPN} σπλάγχνα 4698 {N-NPN} τῶν 3588 {T-GPM} ἁγίων 40 {A-GPM} ἀναπέπαυται 373 {V-RPI-3S} διὰ 1223 {PREP} σοῦ, 4771 {P-2GS} ἀδελφέ. 80 {N-VSM} "
1,8,"Διὸ 1352 {CONJ} πολλὴν 4183 {A-ASF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} παρρησίαν 3954 {N-ASF} ἔχων 2192 {V-PAP-NSM} ἐπιτάσσειν 2004 {V-PAN} σοι 4771 {P-2DS} τὸ 3588 {T-ASN} ἀνῆκον, 433 {V-PAP-ASN} "
1,9,"διὰ 1223 {PREP} τὴν 3588 {T-ASF} ἀγάπην 26 {N-ASF} μᾶλλον 3123 {ADV} παρακαλῶ, 3870 {V-PAI-1S} τοιοῦτος 5108 {D-NSM} ὢν 1510 {V-PAP-NSM} ὡς 5613 {ADV} Παῦλος 3972 {N-NSM} πρεσβύτης, 4246 {N-NSM} νυνὶ 3570 {ADV} δὲ 1161 {CONJ} καὶ 2532 {CONJ} δέσμιος 1198 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} "
1,10,"Παρακαλῶ 3870 {V-PAI-1S} σε 4771 {P-2AS} περὶ 4012 {PREP} τοῦ 3588 {T-GSN} ἐμοῦ 1699 {S-1SGSN} τέκνου, 5043 {N-GSN} ὃν 3739 {R-ASM} ἐγέννησα 1080 {V-AAI-1S} ἐν 1722 {PREP} τοῖς 3588 {T-DPM} δεσμοῖς 1199 {N-DPM} μου, 1473 {P-1GS} Ὀνήσιμον, 3682 {N-ASM} "
