chapter,verse,texte
1,1,"Ἀποκάλυψις 602 {N-NSF} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ἣν 3739 {R-ASF} ἔδωκεν 1325 {V-AAI-3S} αὐτῷ 846 {P-DSM} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} δεῖξαι 1166 {V-AAN} τοῖς 3588 {T-DPM} δούλοις 1401 {N-DPM} αὐτοῦ, 846 {P-GSM} ἃ 3739 {R-APN} δεῖ 1163 {V-PAI-3S} γενέσθαι 1096 {V-2ADN} ἐν 1722 {PREP} τάχει, 5034 {N-DSN} καὶ 2532 {CONJ} ἐσήμανεν 4591 {V-AAI-3S} ἀποστείλας 649 {V-AAP-NSM} διὰ 1223 {PREP} τοῦ 3588 {T-GSM} ἀγγέλου 32 {N-GSM} αὐτοῦ 846 {P-GSM} τῷ 3588 {T-DSM} δούλῳ 1401 {N-DSM} αὐτοῦ 846 {P-GSM} Ἰωάννῃ, 2491 {N-DSM} "
1,2,"ὃς 3739 {R-NSM} ἐμαρτύρησεν 3140 {V-AAI-3S} τὸν 3588 {T-ASM} λόγον 3056 {N-ASM} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} καὶ 2532 {CONJ} τὴν 3588 {T-ASF} μαρτυρίαν 3141 {N-ASF} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ὅσα 3745 {K-APN} εἶδεν. 3708 {V-2AAI-3S} "
1,3,"Μακάριος 3107 {A-NSM} ὁ 3588 {T-NSM} ἀναγινώσκων, 314 {V-PAP-NSM} καὶ 2532 {CONJ} οἱ 3588 {T-NPM} ἀκούοντες 191 {V-PAP-NPM} τοὺς 3588 {T-APM} λόγους 3056 {N-APM} τῆς 3588 {T-GSF} προφητείας 4394 {N-GSF} καὶ 2532 {CONJ} τηροῦντες 5083 {V-PAP-NPM} τὰ 3588 {T-APN} ἐν 1722 {PREP} αὐτῇ 846 {P-DSF} γεγραμμένα· 1125 {V-RPP-APN} ὁ 3588 {T-NSM} γὰρ 1063 {CONJ} καιρὸς 2540 {N-NSM} ἐγγύς. 1451 {ADV} "
1,4,"Ἰωάννης 2491 {N-NSM} ταῖς 3588 {T-DPF} ἑπτὰ 2033 {A-NUI} ἐκκλησίαις 1577 {N-DPF} ταῖς 3588 {T-DPF} ἐν 1722 {PREP} τῇ 3588 {T-DSF} Ἀσίᾳ· 773 {N-DSF} χάρις 5485 {N-NSF} ὑμῖν 4771 {P-2DP} καὶ 2532 {CONJ} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} ὁ 3588 {T-NSM} ὢν 1510 {V-PAP-NSM} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} ἦν 1510 {V-IAI-3S} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} ἐρχόμενος· 2064 {V-PNP-NSM} καὶ 2532 {CONJ} ἀπὸ 575 {PREP} τῶν 3588 {T-GPN} ἑπτὰ 2033 {A-NUI} πνευμάτων 4151 {N-GPN} ἃ 3739 {R-NPN} ἐνώπιον 1799 {PREP} τοῦ 3588 {T-GSM} θρόνου 2362 {N-GSM} αὐτοῦ· 846 {P-GSM} "
1,5,"καὶ 2532 {CONJ} ἀπὸ 575 {PREP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} ὁ 3588 {T-NSM} μάρτυς 3144 {N-NSM} ὁ 3588 {T-NSM} πιστός, 4103 {A-NSM} ὁ 3588 {T-NSM} πρωτότοκος 4416 {A-NSM-S} τῶν 3588 {T-GPM} νεκρῶν, 3498 {A-GPM} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} ἄρχων 758 {N-NSM} τῶν 3588 {T-GPM} βασιλέων 935 {N-GPM} τῆς 3588 {T-GSF} γῆς. 1093 {N-GSF} Τῷ 3588 {T-DSM} ἀγαπῶντι 25 {V-PAP-DSM} ἡμᾶς, 1473 {P-1AP} καὶ 2532 {CONJ} λούσαντι 3068 {V-AAP-DSM} ἡμᾶς 1473 {P-1AP} ἀπὸ 575 {PREP} τῶν 3588 {T-GPF} ἁμαρτιῶν 266 {N-GPF} ἡμῶν 1473 {P-1GP} ἐν 1722 {PREP} τῷ 3588 {T-DSN} αἵματι 129 {N-DSN} αὐτοῦ· 846 {P-GSM} "
1,6,"καὶ 2532 {CONJ} ἐποίησεν 4160 {V-AAI-3S} ἡμᾶς 1473 {P-1AP} βασιλείαν, 932 {N-ASF} ἱερεῖς 2409 {N-APM} τῷ 3588 {T-DSM} θεῷ 2316 {N-DSM} καὶ 2532 {CONJ} πατρὶ 3962 {N-DSM} αὐτοῦ· 846 {P-GSM} αὐτῷ 846 {P-DSM} ἡ 3588 {T-NSF} δόξα 1391 {N-NSF} καὶ 2532 {CONJ} τὸ 3588 {T-NSN} κράτος 2904 {N-NSN} εἰς 1519 {PREP} τοὺς 3588 {T-APM} αἰῶνας 165 {N-APM} τῶν 3588 {T-GPM} αἰώνων. 165 {N-GPM} Ἀμήν. 281 {HEB} "
1,7,"Ἰδού, 3708 {V-2AMM-2S} ἔρχεται 2064 {V-PNI-3S} μετὰ 3326 {PREP} τῶν 3588 {T-GPF} νεφελῶν, 3507 {N-GPF} καὶ 2532 {CONJ} ὄψεται 3708 {V-FDI-3S} αὐτὸν 846 {P-ASM} πᾶς 3956 {A-NSM} ὀφθαλμός, 3788 {N-NSM} καὶ 2532 {CONJ} οἵτινες 3748 {R-NPM} αὐτὸν 846 {P-ASM} ἐξεκέντησαν· 1574 {V-AAI-3P} καὶ 2532 {CONJ} κόψονται 2875 {V-FDI-3P} ἐπ’ 1909 {PREP} αὐτὸν 846 {P-ASM} πᾶσαι 3956 {A-NPF} αἱ 3588 {T-NPF} φυλαὶ 5443 {N-NPF} τῆς 3588 {T-GSF} γῆς. 1093 {N-GSF} Ναί, 3483 {PRT} ἀμήν. 281 {HEB} "
1,8,"Ἐγώ 1473 {P-1NS} εἰμι 1510 {V-PAI-1S} τὸ 3588 {T-NSN} Ἄλφα 1 {N-LI} καὶ 2532 {CONJ} τὸ 3588 {T-NSN} Ὦ, 5598 {N-LI} λέγει 3004 {V-PAI-3S} κύριος 2962 {N-NSM} ὁ 3588 {T-NSM} θεός, 2316 {N-NSM} ὁ 3588 {T-NSM} ὢν 1510 {V-PAP-NSM} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} ἦν 1510 {V-IAI-3S} καὶ 2532 {CONJ} ὁ 3588 {T-NSM} ἐρχόμενος, 2064 {V-PNP-NSM} ὁ 3588 {T-NSM} παντοκράτωρ. 3841 {N-NSM} "
1,9,"Ἐγὼ 1473 {P-1NS} Ἰωάννης, 2491 {N-NSM} ὁ 3588 {T-NSM} ἀδελφὸς 80 {N-NSM} ὑμῶν 4771 {P-2GP} καὶ 2532 {CONJ} κοινωνὸς 2844 {N-NSM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} θλίψει 2347 {N-DSF} καὶ 2532 {CONJ} βασιλείᾳ 932 {N-DSF} καὶ 2532 {CONJ} ὑπομονῇ 5281 {N-DSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ, 2424 {N-DSM} ἐγενόμην 1096 {V-2ADI-1S} ἐν 1722 {PREP} τῇ 3588 {T-DSF} νήσῳ 3520 {N-DSF} τῇ 3588 {T-DSF} καλουμένῃ 2564 {V-PPP-DSF} Πάτμῳ, 3963 {N-DSF} διὰ 1223 {PREP} τὸν 3588 {T-ASM} λόγον 3056 {N-ASM} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} καὶ 2532 {CONJ} διὰ 1223 {PREP} τὴν 3588 {T-ASF} μαρτυρίαν 3141 {N-ASF} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} "
1,10,"Ἐγενόμην 1096 {V-2ADI-1S} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἐν 1722 {PREP} τῇ 3588 {T-DSF} κυριακῇ 2960 {A-DSF} ἡμέρᾳ· 2250 {N-DSF} καὶ 2532 {CONJ} ἤκουσα 191 {V-AAI-1S} φωνὴν 5456 {N-ASF} ὀπίσω 3694 {ADV} μου 1473 {P-1GS} μεγάλην 3173 {A-ASF} ὡς 5613 {ADV} σάλπιγγος, 4536 {N-GSF} "
