chapter,verse,text
1,1,"Ἀρχὴ 746 {N-NSF} τοῦ 3588 {T-GSN} εὐαγγελίου 2098 {N-GSN} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} υἱοῦ 5207 {N-GSM} τοῦ 3588 {T-GSM} θεοῦ." 2316 {N-GSM} "
1,2,"Ὡς 5613 {ADV} γέγραπται 1125 {V-RPI-3S} ἐν 1722 {PREP} τοῖς 3588 {T-DPM} προφήταις, 4396 {N-DPM} Ἰδού, 3708 {V-2AMM-2S} ἐγὼ 1473 {P-1NS} ἀποστέλλω 649 {V-PAI-1S} τὸν 3588 {T-ASM} ἄγγελόν 32 {N-ASM} μου 1473 {P-1GS} πρὸ 4253 {PREP} προσώπου 4383 {N-GSN} σου, 4771 {P-2GS} ὃς 3739 {R-NSM} κατασκευάσει 2680 {V-FAI-3S} τὴν 3588 {T-ASF} ὁδόν 3598 {N-ASF} σου 4771 {P-2GS} ἔμπροσθέν 1715 {PREP} σου." 4771 {P-2GS} "
1,3,"Φωνὴ 5456 {N-NSF} βοῶντος 994 {V-PAP-GSM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἐρήμῳ, 2048 {A-DSF} Ἑτοιμάσατε 2090 {V-AAM-2P} τὴν 3588 {T-ASF} ὁδὸν 3598 {N-ASF} κυρίου· 2962 {N-GSM} εὐθείας 2117 {A-APF} ποιεῖτε 4160 {V-PAM-2P} τὰς 3588 {T-APF} τρίβους 5147 {N-APF} αὐτοῦ." 846 {P-GSM} "
1,4,"Ἐγένετο 1096 {V-2ADI-3S} Ἰωάννης 2491 {N-NSM} βαπτίζων 907 {V-PAP-NSM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἐρήμῳ, 2048 {A-DSF} καὶ 2532 {CONJ} κηρύσσων 2784 {V-PAP-NSM} βάπτισμα 908 {N-ASN} μετανοίας 3341 {N-GSF} εἰς 1519 {PREP} ἄφεσιν 859 {N-ASF} ἁμαρτιῶν." 266 {N-GPF} "
1,5,"Καὶ 2532 {CONJ} ἐξεπορεύετο 1607 {V-INI-3S} πρὸς 4314 {PREP} αὐτὸν 846 {P-ASM} πᾶσα 3956 {A-NSF} ἡ 3588 {T-NSF} Ἰουδαία 2449 {N-NSF} χώρα, 5561 {N-NSF} καὶ 2532 {CONJ} οἱ 3588 {T-NPM} Ἱεροσολυμῖται, 2415 {N-NPM} καὶ 2532 {CONJ} ἐβαπτίζοντο 907 {V-IPI-3P} πάντες 3956 {A-NPM} ἐν 1722 {PREP} τῷ 3588 {T-DSM} Ἰορδάνῃ 2446 {N-DSM} ποταμῷ 4215 {N-DSM} ὑπ’ 5259 {PREP} αὐτοῦ, 846 {P-GSM} ἐξομολογούμενοι 1843 {V-PMP-NPM} τὰς 3588 {T-APF} ἁμαρτίας 266 {N-APF} αὐτῶν." 846 {P-GPM} "
1,6,"Ἦν 1510 {V-IAI-3S} δὲ 1161 {CONJ} ὁ 3588 {T-NSM} Ἰωάννης 2491 {N-NSM} ἐνδεδυμένος 1746 {V-RMP-NSM} τρίχας 2359 {N-APF} καμήλου, 2574 {N-GSF} καὶ 2532 {CONJ} ζώνην 2223 {N-ASF} δερματίνην 1193 {A-ASF} περὶ 4012 {PREP} τὴν 3588 {T-ASF} ὀσφὺν 3751 {N-ASF} αὐτοῦ, 846 {P-GSM} καὶ 2532 {CONJ} ἐσθίων 2068 {V-PAP-NSM} ἀκρίδας 200 {N-APF} καὶ 2532 {CONJ} μέλι 3192 {N-ASN} ἄγριον." 66 {A-ASN} "
1,7,"Καὶ 2532 {CONJ} ἐκήρυσσεν, 2784 {V-IAI-3S} λέγων, 3004 {V-PAP-NSM} Ἔρχεται 2064 {V-PNI-3S} ὁ 3588 {T-NSM} ἰσχυρότερός 2478 {A-NSM-C} μου 1473 {P-1GS} ὀπίσω 3694 {ADV} μου, 1473 {P-1GS} οὗ 3739 {R-GSM} οὐκ 3756 {PRT-N} εἰμὶ 1510 {V-PAI-1S} ἱκανὸς 2425 {A-NSM} κύψας 2955 {V-AAP-NSM} λῦσαι 3089 {V-AAN} τὸν 3588 {T-ASM} ἱμάντα 2438 {N-ASM} τῶν 3588 {T-GPN} ὑποδημάτων 5266 {N-GPN} αὐτοῦ." 846 {P-GSM} "
1,8,Ἐγὼ 1473 {P-1NS} μὲν 3303 {PRT} ἐβάπτισα 907 {V-AAI-1S} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} ὕδατι· 5204 {N-DSN} αὐτὸς 846 {P-NSM} δὲ 1161 {CONJ} βαπτίσει 907 {V-FAI-3S} ὑμᾶς 4771 {P-2AP} ἐν 1722 {PREP} πνεύματι 4151 {N-DSN} ἁγίῳ. 40 {A-DSN} 
1,9,"Καὶ 2532 {CONJ} ἐγένετο 1096 {V-2ADI-3S} ἐν 1722 {PREP} ἐκείναις 1565 {D-DPF} ταῖς 3588 {T-DPF} ἡμέραις, 2250 {N-DPF} ἦλθεν 2064 {V-2AAI-3S} Ἰησοῦς 2424 {N-NSM} ἀπὸ 575 {PREP} Ναζαρὲτ 3478 {N-PRI} τῆς 3588 {T-GSF} Γαλιλαίας, 1056 {N-GSF} καὶ 2532 {CONJ} ἐβαπτίσθη 907 {V-API-3S} ὑπὸ 5259 {PREP} Ἰωάννου 2491 {N-GSM} εἰς 1519 {PREP} τὸν 3588 {T-ASM} Ἰορδάνην." 2446 {N-ASM} "
1,10,"Καὶ 2532 {CONJ} εὐθέως 2112 {ADV} ἀναβαίνων 305 {V-PAP-NSM} ἀπὸ 575 {PREP} τοῦ 3588 {T-GSN} ὕδατος, 5204 {N-GSN} εἶδεν 3708 {V-2AAI-3S} σχιζομένους 4977 {V-PPP-APM} τοὺς 3588 {T-APM} οὐρανούς, 3772 {N-APM} καὶ 2532 {CONJ} τὸ 3588 {T-ASN} πνεῦμα 4151 {N-ASN} ὡσεὶ 5616 {ADV} περιστερὰν 4058 {N-ASF} καταβαῖνον 2597 {V-PAP-ASN} ἐπ’ 1909 {PREP} αὐτόν·" 846 {P-ASM} "
1,11,"καὶ 2532 {CONJ} φωνὴ 5456 {N-NSF} ἐγένετο 1096 {V-2ADI-3S} ἐκ 1537 {PREP} τῶν 3588 {T-GPM} οὐρανῶν, 3772 {N-GPM} Σὺ 4771 {P-2NS} εἶ 1510 {V-PAI-2S} ὁ 3588 {T-NSM} υἱός 5207 {N-NSM} μου 1473 {P-1GS} ὁ 3588 {T-NSM} ἀγαπητός, 27 {A-NSM} ἐν 1722 {PREP} ᾧ 3739 {R-DSM} εὐδόκησα." 2106 {V-AAI-1S} "
1,12,"Καὶ 2532 {CONJ} εὐθὺς 2112 {ADV} τὸ 3588 {T-NSN} πνεῦμα 4151 {N-NSN} αὐτὸν 846 {P-ASM} ἐκβάλλει 1544 {V-PAI-3S} εἰς 1519 {PREP} τὴν 3588 {T-ASF} ἔρημον." 2048 {A-ASF} "
1,13,"Καὶ 2532 {CONJ} ἦν 1510 {V-IAI-3S} ἐκεῖ 1563 {ADV} ἐν 1722 {PREP} τῇ 3588 {T-DSF} ἐρήμῳ 2048 {A-DSF} ἡμέρας 2250 {N-APF} τεσσαράκοντα 5062 {A-NUI} πειραζόμενος 3985 {V-PPP-NSM} ὑπὸ 5259 {PREP} τοῦ 3588 {T-GSM} Σατανᾶ, 4567 {N-GSM} καὶ 2532 {CONJ} ἦν 1510 {V-IAI-3S} μετὰ 3326 {PREP} τῶν 3588 {T-GPN} θηρίων, 2342 {N-GPN} καὶ 2532 {CONJ} οἱ 3588 {T-NPM} ἄγγελοι 32 {N-NPM} διηκόνουν 1247 {V-IAI-3P} αὐτῷ." 846 {P-DSM} "
1,14,"Μετὰ 3326 {PREP} δὲ 1161 {CONJ} τὸ 3588 {T-ASN} παραδοθῆναι 3860 {V-APN} τὸν 3588 {T-ASM} Ἰωάννην, 2491 {N-ASM} ἦλθεν 2064 {V-2AAI-3S} ὁ 3588 {T-NSM} Ἰησοῦς 2424 {N-NSM} εἰς 1519 {PREP} τὴν 3588 {T-ASF} Γαλιλαίαν, 1056 {N-ASF} κηρύσσων 2784 {V-PAP-NSM} τὸ 3588 {T-ASN} εὐαγγέλιον 2098 {N-ASN} τῆς 3588 {T-GSF} βασιλείας 932 {N-GSF} τοῦ 3588 {T-GSM} θεοῦ, 2316 {N-GSM} " "
