chapter,verse,text
1,1,"Βίβλος 976 {N-NSF} γενέσεως 1078 {N-GSF} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} υἱοῦ 5207 {N-GSM} Δαυίδ, 1138 {N-PRI} υἱοῦ 5207 {N-GSM} Ἀβραάμ." 11 {N-PRI}
1,2,"Ἀβραὰμ 11 {N-PRI} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰσαάκ· 2464 {N-PRI} Ἰσαὰκ 2464 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰακώβ· 2384 {N-PRI} Ἰακὼβ 2384 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰούδαν 2455 {N-ASM} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} ἀδελφοὺς 80 {N-APM} αὐτοῦ·" 846 {P-GSM} "
1,3,Ἰούδας 2455 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Φαρὲς 5329 {N-PRI} καὶ 2532 {CONJ} τὸν 3588 {T-ASM} Ζαρὰ 2196 {N-PRI} ἐκ 1537 {PREP} τῆς 3588 {T-GSF} Θάμαρ· 2283 {N-PRI} Φαρὲς 5329 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἑσρώμ· 2074 {N-PRI} Ἑσρὼμ 2074 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀράμ· 689 {N-PRI} 
1,4,Ἀρὰμ 689 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀμιναδάβ· 284 {N-PRI} Ἀμιναδὰβ 284 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ναασσών· 3476 {N-PRI} Ναασσὼν 3476 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Σαλμών· 4533 {N-PRI} 
1,5,Σαλμὼν 4533 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Βοὸζ 1003 {N-PRI} ἐκ 1537 {PREP} τῆς 3588 {T-GSF} Ῥαχάβ· 4477 {N-PRI} Βοὸζ 1003 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ὠβὴδ 5601 {N-PRI} ἐκ 1537 {PREP} τῆς 3588 {T-GSF} Ῥούθ· 4503 {N-PRI} Ὠβὴδ 5601 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰεσσαί· 2421 {N-PRI} 
1,6,"Ἰεσσαὶ 2421 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Δαυὶδ 1138 {N-PRI} τὸν 3588 {T-ASM} βασιλέα. 935 {N-ASM} Δαυὶδ 1138 {N-PRI} δὲ 1161 {CONJ} ὁ 3588 {T-NSM} βασιλεὺς 935 {N-NSM} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Σολομῶνα 4672 {N-ASM} ἐκ 1537 {PREP} τῆς 3588 {T-GSF} τοῦ 3588 {T-GSM} Οὐρίου·" 3774 {N-GSM} "
1,7,Σολομὼν 4672 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ῥοβοάμ· 4497 {N-PRI} Ῥοβοὰμ 4497 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀβιά· 7 {N-PRI} Ἀβιὰ 7 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀσά· 760 {N-PRI} 
1,8,Ἀσὰ 760 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰωσαφάτ· 2498 {N-PRI} Ἰωσαφὰτ 2498 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰωράμ· 2496 {N-PRI} Ἰωρὰμ 2496 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ὀζίαν· 3604 {N-ASM} 
1,9,Ὀζίας 3604 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰωάθαμ· 2488 {N-PRI} Ἰωάθαμ 2488 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἄχαζ· 881 {N-PRI} Ἄχαζ 881 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἑζεκίαν· 1478 {N-ASM} 
1,10,Ἑζεκίας 1478 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Μανασσῆ· 3128 {N-ASM} Μανασσῆς 3128 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀμών· 300 {N-PRI} Ἀμὼν 300 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰωσίαν· 2502 {N-ASM} 
1,11,"Ἰωσίας 2502 {N-NSM} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰεχονίαν 2423 {N-ASM} καὶ 2532 {CONJ} τοὺς 3588 {T-APM} ἀδελφοὺς 80 {N-APM} αὐτοῦ, 846 {P-GSM} ἐπὶ 1909 {PREP} τῆς 3588 {T-GSF} μετοικεσίας 3350 {N-GSF} Βαβυλῶνος." 897 {N-GSF} "
1,12,"Μετὰ 3326 {PREP} δὲ 1161 {CONJ} τὴν 3588 {T-ASF} μετοικεσίαν 3350 {N-ASF} Βαβυλῶνος, 897 {N-GSF} Ἰεχονίας 2423 {N-NSM} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Σαλαθιήλ· 4528 {N-PRI} Σαλαθιὴλ 4528 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ζοροβάβελ·" 2216 {N-PRI} "
1,13,Ζοροβάβελ 2216 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀβιούδ· 10 {N-PRI} Ἀβιοὺδ 10 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἐλιακείμ· 1662 {N-PRI} Ἐλιακεὶμ 1662 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀζώρ· 107 {N-PRI} 
1,14,Ἀζὼρ 107 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Σαδώκ· 4524 {N-PRI} Σαδὼκ 4524 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἀχείμ· 885 {N-PRI} Ἀχεὶμ 885 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἐλιούδ· 1664 {N-PRI} 
1,15,Ἐλιοὺδ 1664 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἐλεάζαρ· 1648 {N-PRI} Ἐλεάζαρ 1648 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ματθάν· 3157 {N-PRI} Ματθὰν 3157 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰακώβ· 2384 {N-PRI} 
1,16,"Ἰακὼβ 2384 {N-PRI} δὲ 1161 {CONJ} ἐγέννησεν 1080 {V-AAI-3S} τὸν 3588 {T-ASM} Ἰωσὴφ 2501 {N-PRI} τὸν 3588 {T-ASM} ἄνδρα 435 {N-ASM} Μαρίας, 3137 {N-GSF} ἐξ 1537 {PREP} ἧς 3739 {R-GSF} ἐγεννήθη 1080 {V-API-3S} Ἰησοῦς, 2424 {N-NSM} ὁ 3588 {T-NSM} λεγόμενος 3004 {V-PPP-NSM} χριστός." 5547 {N-NSM} "
1,17,"Πᾶσαι 3956 {A-NPF} οὖν 3767 {CONJ} αἱ 3588 {T-NPF} γενεαὶ 1074 {N-NPF} ἀπὸ 575 {PREP} Ἀβραὰμ 11 {N-PRI} ἕως 2193 {ADV} Δαυὶδ 1138 {N-PRI} γενεαὶ 1074 {N-NPF} δεκατέσσαρες· 1180 {A-NPF} καὶ 2532 {CONJ} ἀπὸ 575 {PREP} Δαυὶδ 1138 {N-PRI} ἕως 2193 {ADV} τῆς 3588 {T-GSF} μετοικεσίας 3350 {N-GSF} Βαβυλῶνος, 897 {N-GSF} γενεαὶ 1074 {N-NPF} δεκατέσσαρες· 1180 {A-NPF} καὶ 2532 {CONJ} ἀπὸ 575 {PREP} τῆς 3588 {T-GSF} μετοικεσίας 3350 {N-GSF} Βαβυλῶνος 897 {N-GSF} ἕως 2193 {ADV} τοῦ 3588 {T-GSM} χριστοῦ, 5547 {N-GSM} γενεαὶ 1074 {N-NPF} δεκατέσσαρες." 1180 {A-NPF} "
1,18,"Τοῦ 3588 {T-GSM} δὲ 1161 {CONJ} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} ἡ 3588 {T-NSF} γέννησις 1083 {N-NSF} οὕτως 3779 {ADV} ἦν· 1510 {V-IAI-3S} μνηστευθείσης 3423 {V-APP-GSF} γὰρ 1063 {CONJ} τῆς 3588 {T-GSF} μητρὸς 3384 {N-GSF} αὐτοῦ 846 {P-GSM} Μαρίας 3137 {N-GSF} τῷ 3588 {T-DSM} Ἰωσήφ, 2501 {N-PRI} πρὶν 4250 {ADV} ἢ 2228 {PRT} συνελθεῖν 4905 {V-2AAN} αὐτούς, 846 {P-APM} εὑρέθη 2147 {V-API-3S} ἐν 1722 {PREP} γαστρὶ 1064 {N-DSF} ἔχουσα 2192 {V-PAP-NSF} ἐκ 1537 {PREP} πνεύματος 4151 {N-GSN} ἁγίου." 40 {A-GSN} "
1,19,"Ἰωσὴφ 2501 {N-PRI} δὲ 1161 {CONJ} ὁ 3588 {T-NSM} ἀνὴρ 435 {N-NSM} αὐτῆς, 846 {P-GSF} δίκαιος 1342 {A-NSM} ὤν, 1510 {V-PAP-NSM} καὶ 2532 {CONJ} μὴ 3361 {PRT-N} θέλων 2309 {V-PAP-NSM} αὐτὴν 846 {P-ASF} παραδειγματίσαι, 3856 {V-AAN} ἐβουλήθη 1014 {V-AOI-3S} λάθρᾳ 2977 {ADV} ἀπολῦσαι 630 {V-AAN} αὐτήν." 846 {P-ASF} "
