Ezr 1:1
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πρώτῳ A1--DSNS-- πρῶτος
ἔτει N3E-DSN--- ἔτος
Κύρου N2--GSM--- Κῦρος
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
τοῦ RA--GSN--- ὁ
τελεσθῆναι VS--APN--- τελέω
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
ἀπὸ P--------- ἀπό
στόματος N3M-GSN--- στόμα
Ιερεμιου N1T-GSM--- Ἰερεμίας
ἐξήγειρεν V1I-IAI3S- ἀγείρω ἐκ
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
Κύρου N2--GSM--- Κῦρος
βασιλέως N3V-GSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
καὶ C--------- καί
παρήγγειλεν VAI-AAI3S- ἀγγέλλω παρα
φωνὴν N1--ASF--- φωνή
ἐν P--------- ἐν
πάσῃ A1S-DSF--- πᾶς
βασιλείᾳ N1A-DSF--- βασιλεία
αὐτοῦ RD--GSM--- αὐτός
καί C--------- καί
γε X--------- γέ
ἐν P--------- ἐν
γραπτῷ N2N-DSN--- γραπτόν
λέγων V1--PAPNSM λέγω

Ezr 1:2
οὕτως D--------- οὕτως
εἶπεν VBI-AAI3S- εἶπον
Κῦρος N2--NSM--- Κῦρος
βασιλεὺς N3V-NSM--- βασιλεύς
Περσῶν N1M-GPM--- Πέρσης
πάσας A3--APF--- πᾶς
τὰς RA--APF--- ὁ
βασιλείας N1A-APF--- βασιλεία
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DS---- ἐγώ
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
αὐτὸς RD--NSM--- αὐτός
ἐπεσκέψατο VAI-AMI3S- σκέπτομαι ἐπι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
τοῦ RA--GSN--- ὁ
οἰκοδομῆσαι VA--AAN--- οἰκοδομέω
αὐτῷ RD--DSM--- αὐτός
οἶκον N2--ASM--- οἶκος
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
τῇ RA--DSF--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία

Ezr 1:3
τίς RI--NSM--- τίς
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
ἀπὸ P--------- ἀπό
παντὸς A3--GSM--- πᾶς
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτοῦ RD--GSM--- αὐτός
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἀναβήσεται VF2-FMI3S- βαίνω ἀνα
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
τὴν RA--ASF--- ὁ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Ιουδαίᾳ N1A-DSF--- Ἰουδαία
καὶ C--------- καί
οἰκοδομησάτω VA--AAD3S- οἰκοδομέω
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
θεοῦ N2--GSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
αὐτὸς RD--NSM--- αὐτός
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ὁ RA--NSM--- ὁ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Ezr 1:4
καὶ C--------- καί
πᾶς A3--NSM--- πᾶς
ὁ RA--NSM--- ὁ
καταλειπόμενος V1--PMPNSM λείπω κατα
ἀπὸ P--------- ἀπό
πάντων A3--GPM--- πᾶς
τῶν RA--GPM--- ὁ
τόπων N2--GPM--- τόπος
οὗ D--------- οὗ
αὐτὸς RD--NSM--- αὐτός
παροικεῖ V2--PAI3S- οἰκέω παρα
ἐκεῖ D--------- ἐκεῖ
καὶ C--------- καί
λήμψονται VF--FMI3P- λαμβάνω
αὐτὸν RD--ASM--- αὐτός
ἄνδρες N3--NPM--- ἀνήρ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
ἀργυρίῳ N2N-DSN--- ἀργύριον
καὶ C--------- καί
χρυσίῳ N2N-DSN--- χρυσίον
καὶ C--------- καί
ἀποσκευῇ N1--DSF--- ἀποσκευή
καὶ C--------- καί
κτήνεσιν N3E-DPN--- κτῆνος
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἑκουσίου A1A-GSM--- ἑκούσιος
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ

Ezr 1:5
καὶ C--------- καί
ἀνέστησαν VHI-AAI3P- ἵστημι ἀνα
ἄρχοντες N3--NPM--- ἄρχων
τῶν RA--GPM--- ὁ
πατριῶν N1A-GPF--- πατριά
τῷ RA--DSM--- ὁ
Ιουδα N---DSM--- Ἰουδά
καὶ C--------- καί
Βενιαμιν N---DSM--- Βενιαμίν
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἱερεῖς N3V-NPM--- ἱερεύς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
Λευῖται N1M-NPM--- Λευείτης
πάντων A3--GPM--- πᾶς
ὧν RR--GPM--- ὅς
ἐξήγειρεν V1I-IAI3S- ἀγείρω ἐκ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSN--- ὁ
