Neh 1:1
λόγοι N2--NPM--- λόγος
Νεεμια N---GSM--- Νεεμια
υἱοῦ N2--GSM--- υἱός
Αχαλια N---GSM--- Αχαλια
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
μηνὶ N3--DSM--- μήν
Χασεηλου N---DSM--- Χασεηλου
ἔτους N3E-GSN--- ἔτος
εἰκοστοῦ A1--GSN--- εἰκοστός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤμην V9--IMI1S- εἰμί
ἐν P--------- ἐν
Σουσαν N---DS---- Σουσαν
αβιρα N---DS---- αβιρα

Neh 1:2
καὶ C--------- καί
ἦλθεν VBI-AAI3S- ἔρχομαι
Ανανι N---NSM--- Ανανι
εἷς M---NSM--- εἷς
ἀπὸ P--------- ἀπό
ἀδελφῶν N2--GPM--- ἀδελφός
μου RP--GS---- ἐγώ
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
ἄνδρες N3--NPM--- ἀνήρ
Ιουδα N---GSM--- Ἰουδά
καὶ C--------- καί
ἠρώτησα VAI-AAI1S- ἐρωτάω
αὐτοὺς RD--APM--- αὐτός
περὶ P--------- περί
τῶν RA--GPM--- ὁ
σωθέντων VC--APPGPM σώζω
οἳ RR--NPM--- ὅς
κατελείφθησαν VVI-API3P- λείπω κατα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
καὶ C--------- καί
περὶ P--------- περί
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ

Neh 1:3
καὶ C--------- καί
εἴποσαν VBI-AAI3P- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
καταλειπόμενοι V1--PPPNPM λείπω κατα
οἱ RA--NPM--- ὁ
καταλειφθέντες VV--APPNPM λείπω κατα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
αἰχμαλωσίας N1A-GSF--- αἰχμαλωσία
ἐκεῖ D--------- ἐκεῖ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χώρᾳ N1A-DSF--- χώρα
ἐν P--------- ἐν
πονηρίᾳ N1A-DSF--- πονηρία
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
ἐν P--------- ἐν
ὀνειδισμῷ N2--DSM--- ὀνειδισμός
καὶ C--------- καί
τείχη N3E-APN--- τεῖχος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καθῃρημένα VM--XMPAPN αἱρέω κατα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πύλαι N1--NPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
ἐνεπρήσθησαν VCI-API3P- πίπρημι ἐν
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ

Neh 1:4
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀκοῦσαί VA--AAN--- ἀκούω
με RP--AS---- ἐγώ
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τούτους RD--APM--- οὗτος
ἐκάθισα VAI-AAI1S- ἵζω κατα
καὶ C--------- καί
ἔκλαυσα VAI-AAI1S- κλαίω
καὶ C--------- καί
ἐπένθησα VAI-AAI1S- πενθέω
ἡμέρας N1A-APF--- ἡμέρα
καὶ C--------- καί
ἤμην VP--IMI1S- εἰμί
νηστεύων V1--PAPNSM νηστεύω
καὶ C--------- καί
προσευχόμενος V1--PMPNSM εὔχομαι προς
ἐνώπιον P--------- ἐνώπιον
θεοῦ N2--GSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Neh 1:5
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
μὴ D--------- μή
δή X--------- δή
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--VSM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ὁ RA--NSM--- ὁ
ἰσχυρὸς A1A-VSM--- ἰσχυρός
ὁ RA--NSM--- ὁ
μέγας A3--VSM--- μέγας
καὶ C--------- καί
ὁ RA--NSM--- ὁ
φοβερός A1A-VSM--- φοβερός
φυλάσσων V1--PAPVSM φυλάσσω
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ἔλεος N3E-NSM--- ἔλεος
τοῖς RA--DPM--- ὁ
ἀγαπῶσιν V3--PAPDPM ἀγαπάω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
φυλάσσουσιν V1--PAPDPM φυλάσσω
τὰς RA--APF--- ὁ
ἐντολὰς N1--APF--- ἐντολή
αὐτοῦ RD--GSM--- αὐτός

Neh 1:6
ἔστω V9--PAD3S- εἰμί
δὴ X--------- δή
τὸ RA--NSN--- ὁ
οὖς N3--NSN--- οὖς
σου RP--GS---- σύ
προσέχον V1--PAPNSN ἔχω προς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ὀφθαλμοί N2--NPM--- ὀφθαλμός
σου RP--GS---- σύ
ἀνεῳγμένοι VK--XMPNPM οἴγω ἀνα
τοῦ RA--GSN--- ὁ
ἀκοῦσαι VA--AAN--- ἀκούω
προσευχὴν N1--ASF--- προσευχή
δούλου N2--GSM--- δοῦλος
σου RP--GS---- σύ
ἣν RR--ASF--- ὅς
ἐγὼ RP--NS---- ἐγώ
προσεύχομαι V1--PMI1S- εὔχομαι προς
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
σήμερον D--------- σήμερον
ἡμέραν N1A-ASF--- ἡμέρα
καὶ C--------- καί
νύκτα N3--ASF--- νύξ
περὶ P--------- περί
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
δούλων N2--GPM--- δοῦλος
σου RP--GS---- σύ
καὶ C--------- καί
ἐξαγορεύω V1--PAI1S- ἀγορεύω ἐκ
ἐπὶ P--------- ἐπί
ἁμαρτίαις N1A-DPF--- ἁμαρτία
υἱῶν N2--GPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ
ἃς RR--APF--- ὅς
ἡμάρτομέν VBI-AAI1P- ἁμαρτάνω
σοι RP--DS---- σύ
καὶ D--------- καί
ἐγὼ RP--NS---- ἐγώ
καὶ C--------- καί
ὁ RA--NSM--- ὁ
οἶκος N2--NSM--- οἶκος
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω

Neh 1:7
διαλύσει N3I-DSF--- διάλυσις
διελύσαμεν VAI-AAI1P- λύω δια
πρὸς P--------- πρός
σὲ RP--AS---- σύ
καὶ C--------- καί
οὐκ D--------- οὐ
ἐφυλάξαμεν VAI-AAI1P- φυλάσσω
τὰς RA--APF--- ὁ
ἐντολὰς N1--APF--- ἐντολή
καὶ C--------- καί
τὰ RA--APN--- ὁ
προστάγματα N3M-APN--- πρόσταγμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
κρίματα N3M-APN--- κρίμα
ἃ RR--APN--- ὅς
ἐνετείλω VAI-AMI2S- τέλλω ἐν
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
παιδί N3D-DSM--- παῖς
σου RP--GS---- σύ

Neh 1:8
μνήσθητι VS--APD2S- μιμνήσκω
δὴ X--------- δή
τὸν RA--ASM--- ὁ
